word	Nepali-ne	emotion	emotion-intensity-score
outraged	घृणित	anger	0.964
brutality	क्रूरता	anger	0.959
hatred	घृणा	anger	0.953
hateful	घृणित	anger	0.940
terrorize	डरलाग्दो	anger	0.939
violently	उल्लङ्घन	anger	0.938
infuriated	घुम्यो	anger	0.938
furious	अचानक	anger	0.929
enraged	घृणा गरियो	anger	0.927
furiously	अलिकति	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	हत्यारे	anger	0.922
fury	क्रोध	anger	0.922
execution	निष्पादन	anger	0.917
angered	रिस उठ्यो	anger	0.916
savagery	विनाशकारी	anger	0.915
slaughtering	हत्या	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	विनाश	anger	0.912
assassinate	हत्यारा	anger	0.912
rage	क्रोध	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	विनाश	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	आत्मिक	anger	0.906
furor	फोरर	anger	0.900
hostile	शत्रु	anger	0.898
annihilate	विनाश	anger	0.898
murder	हत्या	anger	0.897
raging	उकालो	anger	0.896
vengeful	विचाराधीन	anger	0.894
rape	बलात्कार	anger	0.894
ferocious	फोकस	anger	0.894
pissed	pissed	anger	0.894
obliterated	उल्लेखित	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	विस्फोटक	anger	0.894
killing	हत्या	anger	0.893
combative	संयोजन	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	प्रतिशोध	anger	0.886
torment	पीडा	anger	0.885
wrath	क्रोध	anger	0.885
vicious	खराब	anger	0.884
massacre	नरसंहार	anger	0.882
threatening	धम्कयाउने	anger	0.882
pissoff	पारो तात्नु	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	रौतहट	anger	0.875
fighting	लडाइँ	anger	0.868
annihilated	विनाश	anger	0.865
attacking	आक्रमण गर्दै	anger	0.865
angriest	ईश्वर	anger	0.864
bloodshed	रक्तपात	anger	0.864
smite	स्फाइट	anger	0.862
brawl	झण्डा	anger	0.861
assault	आक्रमण	anger	0.859
malicious	दुर्भावनापूर्ण	anger	0.859
strangle	अङ्ग्रेजी	anger	0.859
tirade	tirade	anger	0.859
explode	विस्फोट	anger	0.859
assassination	हत्या	anger	0.859
hostility	दुश्मन	anger	0.859
loathsome	ढोका	anger	0.857
