word	Gujarati-gu	emotion	emotion-intensity-score
outraged	રોષે	anger	0.964
brutality	નિર્દયતા	anger	0.959
hatred	તિરસ્કાર	anger	0.953
hateful	દ્વેષપૂર્ણ	anger	0.940
terrorize	આતંક કરવો	anger	0.939
violently	હિંસક	anger	0.938
infuriated	ગુસ્સે થયેલું	anger	0.938
furious	ક્રોધાયમાન	anger	0.929
enraged	ગુસ્સે	anger	0.927
furiously	ઝનૂનથી	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	ખૂની	anger	0.922
fury	પ્રકોપ	anger	0.922
execution	અમલ	anger	0.917
angered	ભરાયા	anger	0.916
savagery	ક્રૂરતા	anger	0.915
slaughtering	કતલ	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	કિકઑફ	anger	0.912
annihilation	વિનાશ	anger	0.912
assassinate	હત્યા	anger	0.912
rage	ક્રોધાવેશ	anger	0.911
loathe	તિરસ્કારવું	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	અધોગતિ	anger	0.906
fucktard	વાહિયાત	anger	0.906
homicidal	માનસિક	anger	0.906
furor	ગુસ્સો	anger	0.900
hostile	પ્રતિકૂળ	anger	0.898
annihilate	નાબૂદ કરો	anger	0.898
murder	હત્યા	anger	0.897
raging	રેગિંગ	anger	0.896
vengeful	વેરીલું	anger	0.894
rape	બળાત્કાર	anger	0.894
ferocious	વિકરાળ	anger	0.894
pissed	pissed	anger	0.894
obliterated	પૂર્ણાહુતિ	anger	0.894
infuriates	ઇન્દ્રિયો	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	વિસ્ફોટક	anger	0.894
killing	હત્યા	anger	0.893
combative	ઝઘડાળુ	anger	0.891
gofuckyourself	ગોફકુરર સ્વયં	anger	0.886
vengeance	વેર	anger	0.886
torment	યાતના	anger	0.885
wrath	ક્રોધ	anger	0.885
vicious	નીતિભ્રષ્ટ	anger	0.884
massacre	હત્યાકાંડ	anger	0.882
threatening	ધમકી	anger	0.882
pissoff	પિસોફ	anger	0.875
abhorrent	ઘૃણાસ્પદ	anger	0.875
bloodthirsty	bloodthirsty	anger	0.875
fighting	લડાઈ	anger	0.868
annihilated	નાબૂદ	anger	0.865
attacking	હુમલો	anger	0.865
angriest	બળવાન	anger	0.864
bloodshed	રક્તપાત	anger	0.864
smite	હડતાળ	anger	0.862
brawl	બોલાચાલી	anger	0.861
assault	હુમલો	anger	0.859
malicious	દૂષિત	anger	0.859
strangle	ગળુ	anger	0.859
tirade	નિંદા કરવી	anger	0.859
explode	ફૂટવું	anger	0.859
assassination	હત્યા	anger	0.859
hostility	દુશ્મનાવટ	anger	0.859
loathsome	ઘૃણાજનક	anger	0.857
hell	નરક	anger	0.853
murderous	ખૂની	anger	0.853
attack	હુમલો	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	આતંકવાદ	anger	0.851
beating	હરાવીને	anger	0.849
desecration	અપવિત્ર	anger	0.848
pissingmeoff	પીસીંગમેઓફ	anger	0.848
outrage	અત્યાચાર	anger	0.848
