word	Armenian-hy	emotion	emotion-intensity-score
outraged	վրդովված	anger	0.964
brutality	դաժանություն	anger	0.959
hatred	ատելություն	anger	0.953
hateful	ատելություն	anger	0.940
terrorize	ահաբեկելը	anger	0.939
violently	բռնությամբ	anger	0.938
infuriated	վրդովված	anger	0.938
furious	բարկացած	anger	0.929
enraged	վրդովված	anger	0.927
furiously	բուռն կերպով	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	մարդասպանին	anger	0.922
fury	կատաղություն	anger	0.922
execution	կատարումը	anger	0.917
angered	բարկացան	anger	0.916
savagery	խանդավառությունը	anger	0.915
slaughtering	սպանություն	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	Սեքս Վիդեոներ	anger	0.912
annihilation	ոչնչացում	anger	0.912
assassinate	սպանել	anger	0.912
rage	Զայրույթը	anger	0.911
loathe	նողկանք	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	դավաճանություն	anger	0.906
fucktard	Պուց	anger	0.906
homicidal	հանցագործություն	anger	0.906
furor	ֆուրոր	anger	0.900
hostile	թշնամական	anger	0.898
annihilate	ոչնչացնել	anger	0.898
murder	սպանություն	anger	0.897
raging	կատաղություն	anger	0.896
vengeful	վրեժ	anger	0.894
rape	բռնաբարություն	anger	0.894
ferocious	սարսափելի	anger	0.894
pissed	հուզված	anger	0.894
obliterated	ջնջված է	anger	0.894
infuriates	վրդովմունքները	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	պայթուցիկ	anger	0.894
killing	սպանություն	anger	0.893
combative	հակառակորդը	anger	0.891
gofuckyourself	gofukiourself	anger	0.886
vengeance	վրեժխնդրություն	anger	0.886
torment	տանջանք	anger	0.885
wrath	բարկություն	anger	0.885
vicious	արատավոր	anger	0.884
massacre	կոտորածը	anger	0.882
threatening	սպառնալից	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	նողկալի	anger	0.875
bloodthirsty	արյունռուշտ	anger	0.875
fighting	պայքարում	anger	0.868
annihilated	ոչնչացվեց	anger	0.865
attacking	հարձակման	anger	0.865
angriest	Զայրացած	anger	0.864
bloodshed	արյունահեղություն	anger	0.864
smite	հարվածել	anger	0.862
brawl	ծեծկռտուք	anger	0.861
assault	հարձակումը	anger	0.859
malicious	վնասակար	anger	0.859
strangle	խեղդել	anger	0.859
tirade	թիրախը	anger	0.859
explode	պայթել	anger	0.859
assassination	սպանությունը	anger	0.859
hostility	թշնամություն	anger	0.859
loathsome	նողկալի	anger	0.857
hell	դժոխք	anger	0.853
murderous	մարդասպան	anger	0.853
attack	հարձակումը	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ահաբեկչություն	anger	0.851
beating	ծեծում	anger	0.849
desecration	նսեմացում	anger	0.848
pissingmeoff	սեքս խաղալիք	anger	0.848
outrage	վրդովմունք	anger	0.848
stab	սպանել	anger	0.844
slaughter	սպանդը	anger	0.844
violent	բռնությամբ	anger	0.844
destroying	ոչնչացնելով	anger	0.844
abomination	նողկանք	anger	0.844
tumultuous	աղմկոտ	anger	0.844
irate	զայրույթ	anger	0.844
infuriate	վրդովված	anger	0.844
obliterate	ջնջել	anger	0.843
belligerent	ռազմատենչ	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	զզվելի	anger	0.838
hostilities	ռազմական գործողությունները	anger	0.837
prick	հեգնանքով	anger	0.835
torture	խոշտանգում	anger	0.833
rabid	խռովություն	anger	0.833
horrid	ահավոր	anger	0.833
rampage	խորտակումը	anger	0.833
cruelty	դաժանություն	anger	0.833
hate	ատելություն	anger	0.828
demonic	Դեմոններ	anger	0.828
hating	ատելություն	anger	0.828
satanic	սատանայական	anger	0.828
tyrannical	բռնակալ	anger	0.828
ragemode	ragemode	anger	0.828
despicable	արհամարհելի	anger	0.828
ruinous	քանդված	anger	0.825
condemn	դատապարտել	anger	0.825
riots	խռովություններ	anger	0.824
demolish	քանդել	anger	0.824
angry	զայրացած	anger	0.824
extermination	ոչնչացումը	anger	0.824
dickhead	Ձեռքի Աշխատանք	anger	0.824
livid	լվիդ	anger	0.821
madman	խելագար	anger	0.820
vindictive	վրեժխնդրական	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	չարաճճիություն	anger	0.818
venomous	թունավոր	anger	0.818
threaten	սպառնում	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	ահաբեկիչ	anger	0.818
abhor	զզվելի	anger	0.816
savage	չարագործ	anger	0.814
atrocity	դաժանություն	anger	0.814
carnage	կոտորածը	anger	0.814
berserk	Բերկեր	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	չարաշահում	anger	0.812
tyrant	բռնակալ	anger	0.812
fucksake	ճարպիկ	anger	0.812
pissedoff	փակցնելու	anger	0.812
vendetta	vendetta	anger	0.812
fierce	կատաղի	anger	0.812
destroyer	կործանիչ	anger	0.812
pissesmeoff	սեքս խաղալիք	anger	0.812
fuming	լցոնումներ	anger	0.812
barbaric	բարբարոսական	anger	0.812
anger	զայրույթը	anger	0.811
pieceofshit	կտորշիռ	anger	0.810
slam	slam	anger	0.803
fights	մարտեր	anger	0.803
punched	բռունցքներով	anger	0.803
bitch	կեղտոտ	anger	0.803
punching	punching	anger	0.803
homicide	սպանություն	anger	0.803
destructive	կործանարար	anger	0.797
ruthless	անողորմ, դաժան	anger	0.797
villainous	անբարոյական	anger	0.797
slap	ապտակ	anger	0.791
slaughterhouse	սպանդանոց	anger	0.788
punishing	պատժելու համար	anger	0.788
destroyed	ոչնչացվեց	anger	0.788
retaliatory	պատասխանատուն	anger	0.788
riot	խռովություն	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	աղաղակող	anger	0.788
growthefuckup	մեծամասնությունը	anger	0.788
diabolical	դիվանագիտական	anger	0.788
manslaughter	մարդասպանություն	anger	0.783
clash	բախում	anger	0.783
bloody	արյունոտ	anger	0.781
hellish	դժոխք	anger	0.781
loath	նեղություն	anger	0.781
detonation	պայթեցումը	anger	0.781
quarrel	վեճ	anger	0.781
sinister	չարագործ	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	մեղադրելով	anger	0.779
treacherous	դավաճանական	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	պատասխանել	anger	0.773
revulsion	վերադարձը	anger	0.773
madder	Մեջբերում	anger	0.773
horrific	սարսափելի	anger	0.773
scorn	խայտառակություն	anger	0.769
deplorable	ցավալի	anger	0.766
bomb	ռումբ	anger	0.766
anarchist	անարխիստ	anger	0.765
devastation	ավերածություն	anger	0.765
resent	նեղացած	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	անպարկեշտ	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	դաժան	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	մահացու	anger	0.758
smash	ցնցում	anger	0.758
rant	վարձատրություն	anger	0.758
outburst	պայթյուն	anger	0.757
snarl	բռնել	anger	0.754
profane	պղծել	anger	0.750
offend	վիրավորել	anger	0.750
douchebags	douchebags	anger	0.750
growling	հուզիչ	anger	0.750
stfu	stfu	anger	0.750
vulgarity	գաղափարախոսություն	anger	0.750
dontmesswithme	դոնսմեսսսմմմմ	anger	0.750
crazed	խելագարված	anger	0.750
despise	արհամարհանք	anger	0.750
horror	սարսափը	anger	0.750
aggravating	ծանրացնող	anger	0.750
revolting	ապստամբություն	anger	0.750
fuckedoff	Դավաճանություն	anger	0.742
threat	սպառնալիք	anger	0.742
erupt	ժայթքում	anger	0.742
screaming	ճչում	anger	0.742
violence	բռնություն	anger	0.742
horrible	սարսափելի	anger	0.742
molestation	հալածանք	anger	0.742
bastards	բանդերներ	anger	0.741
revenge	վրեժ	anger	0.738
catastrophe	աղետ	anger	0.735
menacing	սպառնալիք	anger	0.735
demon	Սատանա	anger	0.735
crushing	ջախջախիչ	anger	0.735
damn	Սատանա	anger	0.735
persecute	հալածանք	anger	0.734
argue	վիճաբանություն	anger	0.734
flog	բլոկ	anger	0.734
revolt	ապստամբությունը	anger	0.734
thrash	բախվելով	anger	0.734
