word	Sesotho-st	emotion	emotion-intensity-score
outraged	e halefile	anger	0.964
brutality	bokhopo	anger	0.959
hatred	lehloeo	anger	0.953
hateful	lehloeo	anger	0.940
terrorize	tšosa	anger	0.939
violently	ka mabifi	anger	0.938
infuriated	a halefile	anger	0.938
furious	o halefile	anger	0.929
enraged	o halefile	anger	0.927
furiously	ka bohale	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	'molai	anger	0.922
fury	khalefo	anger	0.922
execution	ho bolaoa	anger	0.917
angered	ho halefa	anger	0.916
savagery	savagery	anger	0.915
slaughtering	ho hlajoa	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	ho timetsoa	anger	0.912
assassinate	bolaea	anger	0.912
rage	khalefo	anger	0.911
loathe	nyonya	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	furor	anger	0.900
hostile	lehloeo	anger	0.898
annihilate	felisa	anger	0.898
murder	ho bolaea	anger	0.897
raging	ho halefa	anger	0.896
vengeful	phetetsa	anger	0.894
rape	ho betoa	anger	0.894
ferocious	e bohale	anger	0.894
pissed	ho pissed	anger	0.894
obliterated	e felisitsoeng	anger	0.894
infuriates	ba halefile	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ho phatloha	anger	0.894
killing	bolaea	anger	0.893
combative	ho loantša	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	phetetso	anger	0.886
torment	tlhokofatso	anger	0.885
wrath	khalefo	anger	0.885
vicious	e kotsi	anger	0.884
massacre	ho bolaea	anger	0.882
threatening	ho sokela	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	e nyonyehang	anger	0.875
bloodthirsty	tšollo ea mali	anger	0.875
fighting	ho loana	anger	0.868
annihilated	felisoa	anger	0.865
attacking	ho hlasela	anger	0.865
angriest	bohale	anger	0.864
bloodshed	tšollo ea mali	anger	0.864
smite	otla	anger	0.862
brawl	moferefere	anger	0.861
assault	tlhaselo	anger	0.859
malicious	e kotsi	anger	0.859
strangle	khaola	anger	0.859
tirade	tirade	anger	0.859
explode	phatloha	anger	0.859
assassination	ho bolaoa	anger	0.859
hostility	lehloeo	anger	0.859
loathsome	e nyonyehang	anger	0.857
hell	lihele	anger	0.853
murderous	ea bolaeang	anger	0.853
attack	tlhaselo	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	bokhukhuni	anger	0.851
beating	ho otla	anger	0.849
desecration	ho tsuba	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	khalefo	anger	0.848
stab	hlaba	anger	0.844
slaughter	polao	anger	0.844
violent	e mabifi	anger	0.844
destroying	ho senya	anger	0.844
abomination	e nyonyehang	anger	0.844
tumultuous	ho soabisa	anger	0.844
irate	ho halefa	anger	0.844
infuriate	e halefile	anger	0.844
obliterate	felisa	anger	0.843
belligerent	ba loana	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	e nyonya	anger	0.838
hostilities	lintoa	anger	0.837
prick	khaotsa	anger	0.835
torture	tlhokofatso	anger	0.833
rabid	e bohale	anger	0.833
horrid	ho tletse	anger	0.833
rampage	ho senya	anger	0.833
cruelty	sehlōhō	anger	0.833
hate	lehloeo	anger	0.828
demonic	bademona	anger	0.828
hating	ho hloea	anger	0.828
satanic	Satane	anger	0.828
tyrannical	bohatelli	anger	0.828
ragemode	ragemode	anger	0.828
despicable	e nyonyehang	anger	0.828
ruinous	e senyang	anger	0.825
condemn	nyatsa	anger	0.825
riots	merusu	anger	0.824
demolish	felisa	anger	0.824
angry	khalefo	anger	0.824
extermination	ho felisoa	anger	0.824
dickhead	dickhead	anger	0.824
livid	e hlakileng	anger	0.821
madman	mohlankana	anger	0.820
vindictive	ho ba le boikemelo	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	mofuthu	anger	0.818
venomous	ho tletse	anger	0.818
threaten	sokela	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	sekhukhuni	anger	0.818
abhor	nyonya	anger	0.816
savage	savage	anger	0.814
atrocity	ho ferekana	anger	0.814
carnage	ho bolaoa	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	ho hlekefetsoa	anger	0.812
tyrant	tyrant	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	u koatile	anger	0.812
vendetta	vendetta	anger	0.812
fierce	e bohale	anger	0.812
destroyer	mohatelli	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	ho tsuba	anger	0.812
barbaric	e sehlōhō	anger	0.812
anger	bohale	anger	0.811
pieceofshit	sephetho	anger	0.810
slam	slam	anger	0.803
fights	li loana	anger	0.803
punched	e otloa	anger	0.803
bitch	bitch	anger	0.803
punching	ho otla	anger	0.803
homicide	ho ipolaea	anger	0.803
destructive	tse senyang	anger	0.797
ruthless	e sehlōhō	anger	0.797
villainous	hahahaha	anger	0.797
slap	hlaba	anger	0.791
slaughterhouse	holo ea polao	anger	0.788
punishing	ho otla	anger	0.788
destroyed	felisoa	anger	0.788
retaliatory	ho iphetetsa	anger	0.788
riot	merusu	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ho hoeletsa	anger	0.788
growthefuckup	ho ntlafatsa	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	ho bolaea batho	anger	0.783
clash	ho qabana	anger	0.783
bloody	mali	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	detonation	anger	0.781
quarrel	qabang	anger	0.781
sinister	sebe	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	ho qosa	anger	0.779
treacherous	ba bolotsana	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	phetetsa	anger	0.773
revulsion	bofetoheli	anger	0.773
madder	madder	anger	0.773
horrific	e tšabehang	anger	0.773
scorn	nyeliso	anger	0.769
deplorable	e utloisang bohloko	anger	0.766
bomb	bomo	anger	0.766
anarchist	anarchist	anger	0.765
devastation	ho senya	anger	0.765
