word	Malayalam-ml	emotion	emotion-intensity-score
outraged	ആക്രോശിച്ചു	anger	0.964
brutality	ക്രൂരത	anger	0.959
hatred	പക	anger	0.953
hateful	വെറുപ്പ്	anger	0.940
terrorize	ഭീകരത	anger	0.939
violently	അക്രമപരമായി	anger	0.938
infuriated	കോപാകുലനായി	anger	0.938
furious	രോഷം	anger	0.929
enraged	കോപാകുലനായി	anger	0.927
furiously	തീക്ഷ്ണമായി	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	കൊലപാതകം	anger	0.922
fury	ക്രോധം	anger	0.922
execution	വധിക്കുക	anger	0.917
angered	ആക്രോശിച്ചു	anger	0.916
savagery	ക്രൂരത	anger	0.915
slaughtering	അറുപ്പുകയാണ്	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	അശ്ലീലം	anger	0.912
annihilation	ഉന്മൂലനം	anger	0.912
assassinate	വധിക്കപ്പെടുക	anger	0.912
rage	രോഷം	anger	0.911
loathe	വെറുക്കുക	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	നാശനഷ്ടം	anger	0.906
fucktard	അശ്ലീലം	anger	0.906
homicidal	കൊലപാതകം	anger	0.906
furor	ഉഗ്രൻ	anger	0.900
hostile	ശത്രുതാപരമായ	anger	0.898
annihilate	ഉന്മൂലനം ചെയ്യുക	anger	0.898
murder	കൊലപാതകം	anger	0.897
raging	ആകാംഷയോടെ	anger	0.896
vengeful	പ്രതികാരംചെയ്യുന്നു	anger	0.894
rape	ബലാൽസംഗം	anger	0.894
ferocious	ഭീകരമായ	anger	0.894
pissed	കുഴഞ്ഞുവീഴുന്നു	anger	0.894
obliterated	നശിപ്പിക്കപ്പെട്ടു	anger	0.894
infuriates	അപമാനിക്കപ്പെടുന്നു	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	സ്ഫോടനം	anger	0.894
killing	കൊല്ലുന്നു	anger	0.893
combative	സംയോജനമായ	anger	0.891
gofuckyourself	നാട്ടിലെത്തി	anger	0.886
vengeance	പ്രതികാരം	anger	0.886
torment	ദണ്ഡനം	anger	0.885
wrath	ക്രോധം	anger	0.885
vicious	ദുഷിച്ച	anger	0.884
massacre	കൂട്ടക്കൊല	anger	0.882
