word	Catalan-ca	emotion	emotion-intensity-score
outraged	indignat	anger	0.964
brutality	brutalitat	anger	0.959
hatred	odi	anger	0.953
hateful	odiós	anger	0.940
terrorize	aterrorizar	anger	0.939
violently	violentament	anger	0.938
infuriated	enfuriat	anger	0.938
furious	furiós	anger	0.929
enraged	enfurismat	anger	0.927
furiously	furiosament	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	assassí	anger	0.922
fury	fúria	anger	0.922
execution	execució	anger	0.917
angered	enutjat	anger	0.916
savagery	salvatgisme	anger	0.915
slaughtering	matança	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	aniquilació	anger	0.912
assassinate	assassinar	anger	0.912
rage	ràbia	anger	0.911
loathe	no ho dubtis	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	condemnació	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidi	anger	0.906
furor	furor	anger	0.900
hostile	hostil	anger	0.898
annihilate	aniquilar	anger	0.898
murder	assassinat	anger	0.897
raging	furiós	anger	0.896
vengeful	venjoso	anger	0.894
rape	violació	anger	0.894
ferocious	feroç	anger	0.894
pissed	mossegat	anger	0.894
obliterated	esborrat	anger	0.894
infuriates	enfuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	explosiu	anger	0.894
killing	matant	anger	0.893
combative	combativa	anger	0.891
gofuckyourself	alegre	anger	0.886
vengeance	venjança	anger	0.886
torment	turment	anger	0.885
wrath	ira	anger	0.885
vicious	cruel	anger	0.884
massacre	massacre	anger	0.882
threatening	amenaçant	anger	0.882
pissoff	treure de polleguera	anger	0.875
abhorrent	abominable	anger	0.875
bloodthirsty	sanguinari	anger	0.875
fighting	lluitant	anger	0.868
annihilated	aniquilat	anger	0.865
attacking	atacant	anger	0.865
angriest	més ràbia	anger	0.864
bloodshed	vessament de sang	anger	0.864
smite	ferit	anger	0.862
brawl	baralla	anger	0.861
assault	assalt	anger	0.859
malicious	maliciós	anger	0.859
