word	Hebrew-iw	emotion	emotion-intensity-score
outraged	זועם	anger	0.964
brutality	הִתעַלְלוּת	anger	0.959
hatred	שנאה	anger	0.953
hateful	נִתעָב	anger	0.940
terrorize	לְהַשְׁלִיט טֶרוֹר	anger	0.939
violently	באלימות	anger	0.938
infuriated	נרגז	anger	0.938
furious	זוֹעֵם	anger	0.929
enraged	נִזעָם	anger	0.927
furiously	בזעם	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	רוֹצֵחַ	anger	0.922
fury	זעם	anger	0.922
execution	ביצוע	anger	0.917
angered	כעס	anger	0.916
savagery	פִּראוּת	anger	0.915
slaughtering	שחיטה	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	מזוינת	anger	0.912
annihilation	הַשׁמָדָה	anger	0.912
assassinate	להתנקש	anger	0.912
rage	זעם	anger	0.911
loathe	לתעב	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	קְלָלָה	anger	0.906
fucktard	זין	anger	0.906
homicidal	רצחני	anger	0.906
furor	סערה	anger	0.900
hostile	עוין	anger	0.898
annihilate	לְהַשְׁמִיד	anger	0.898
murder	רֶצַח	anger	0.897
raging	סוֹעֵר	anger	0.896
vengeful	נַקמָנִי	anger	0.894
rape	לֶאֱנוֹס	anger	0.894
ferocious	פְּרָאִי	anger	0.894
pissed	משתין	anger	0.894
obliterated	נמחק	anger	0.894
infuriates	מקומם	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	חומר נפץ	anger	0.894
killing	הֶרֶג	anger	0.893
combative	לוחמה	anger	0.891
gofuckyourself	לך את עצמך	anger	0.886
vengeance	נקמה	anger	0.886
torment	לַעֲנוֹת	anger	0.885
wrath	זעם	anger	0.885
vicious	מרושע	anger	0.884
massacre	טֶבַח	anger	0.882
threatening	מְאַיֵם	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	שָׂנוּא	anger	0.875
bloodthirsty	צמא דם	anger	0.875
fighting	לְחִימָה	anger	0.868
annihilated	מושמד	anger	0.865
attacking	לתקוף	anger	0.865
angriest	זועם	anger	0.864
bloodshed	שפיכות דמים	anger	0.864
smite	לְהַכּוֹת	anger	0.862
brawl	קְטָטָה	anger	0.861
assault	תקיפה	anger	0.859
malicious	זְדוֹנִי	anger	0.859
strangle	לַחֲנוֹק	anger	0.859
tirade	תוֹכָחָה	anger	0.859
explode	לְהִתְפּוֹצֵץ	anger	0.859
assassination	רֶצַח	anger	0.859
hostility	עוֹיְנוּת	anger	0.859
loathsome	נִתעָב	anger	0.857
hell	גֵיהִנוֹם	anger	0.853
murderous	רַצחָנִי	anger	0.853
attack	לִתְקוֹף	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	טֵרוֹר	anger	0.851
beating	הַכָּאָה	anger	0.849
desecration	חילול	anger	0.848
pissingmeoff	מעצבן אותי	anger	0.848
outrage	שַׁעֲרוּרִיָה	anger	0.848
stab	לִדקוֹר	anger	0.844
slaughter	לִשְׁחוֹט	anger	0.844
violent	אַלִים	anger	0.844
destroying	להרוס	anger	0.844
abomination	תוֹעֵבָה	anger	0.844
tumultuous	רוֹעֵשׁ	anger	0.844
irate	נִזעָם	anger	0.844
infuriate	לְהַרְתִיחַ	anger	0.844
obliterate	לְהַשְׁמִיד	anger	0.843
belligerent	לוֹחְמָנִי	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	לְתַעֵב	anger	0.838
hostilities	פְּעוּלוֹת אֵיבָה	anger	0.837
prick	לִדקוֹר	anger	0.835
torture	לַעֲנוֹת	anger	0.833
rabid	קַנָאִי	anger	0.833
horrid	מַגְעִיל	anger	0.833
rampage	הִשׁתוֹלְלוּת	anger	0.833
cruelty	אַכְזָרִיוּת	anger	0.833
hate	שִׂנאָה	anger	0.828
demonic	שֵׁדִי	anger	0.828
hating	שׂוֹנֵא	anger	0.828
satanic	שְׂטָנִי	anger	0.828
tyrannical	רוֹדָנִי	anger	0.828
ragemode	מצב כעס	anger	0.828
despicable	בזוי	anger	0.828
ruinous	הַרסָנִי	anger	0.825
condemn	לְגַנוֹת	anger	0.825
riots	מהומות	anger	0.824
demolish	לַהֲרוֹס	anger	0.824
angry	כּוֹעֵס	anger	0.824
extermination	הַשׁמָדָה	anger	0.824
dickhead	זין	anger	0.824
livid	כָּחוֹל אָפוֹר	anger	0.821
madman	מְטוּרָף	anger	0.820
vindictive	נַקמָנִי	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	פִּראוּת	anger	0.818
venomous	אַרסִי	anger	0.818
threaten	מאיים	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	מְחַבֵּל	anger	0.818
abhor	לְתַעֵב	anger	0.816
savage	פרא אדם	anger	0.814
atrocity	זוועה	anger	0.814
carnage	טֶבַח	anger	0.814
berserk	מטורף	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	התעללות	anger	0.812
tyrant	רוֹדָן	anger	0.812
fucksake	דפוק	anger	0.812
pissedoff	עצבני	anger	0.812
vendetta	נְקָמַת דָם	anger	0.812
fierce	עַז	anger	0.812
destroyer	מַשׁחֶתֶת	anger	0.812
pissesmeoff	פיסמוב	anger	0.812
fuming	רותחת	anger	0.812
barbaric	בַּרבָּרִי	anger	0.812
anger	כַּעַס	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	לִטרוֹק	anger	0.803
fights	קרבות	anger	0.803
punched	מְחוֹרָר	anger	0.803
bitch	כַּלבָּה	anger	0.803
punching	חבטות	anger	0.803
homicide	רצח	anger	0.803
destructive	הַרסָנִי	anger	0.797
ruthless	חֲסַר רַחֲמִים	anger	0.797
villainous	מְרוּשָׁע	anger	0.797
slap	סְטִירָה	anger	0.791
slaughterhouse	מִטבָּחַיִם	anger	0.788
punishing	עֲנִישָׁה	anger	0.788
destroyed	נהרס	anger	0.788
retaliatory	תגמול	anger	0.788
riot	הִתפָּרְעוּת	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	צועקת	anger	0.788
growthefuckup	לגדול	anger	0.788
diabolical	שטני	anger	0.788
manslaughter	הריגה	anger	0.783
clash	הִתנַגְשׁוּת	anger	0.783
bloody	אָרוּר	anger	0.781
hellish	שְׂטָנִי	anger	0.781
loath	מְתַעֵב	anger	0.781
detonation	הִתְפּוֹצְצוּת	anger	0.781
quarrel	לָרִיב	anger	0.781
sinister	מְרוּשָׁע	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	מאשים	anger	0.779
treacherous	בּוֹגדָנִי	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	לִנְקוֹם	anger	0.773
revulsion	סְלִידָה	anger	0.773
madder	מטורף	anger	0.773
horrific	מַחרִיד	anger	0.773
scorn	לַעַג	anger	0.769
deplorable	מְצַעֵר	anger	0.766
bomb	פְּצָצָה	anger	0.766
anarchist	אֲנַרכִיסט	anger	0.765
devastation	חוּרבָּן	anger	0.765
resent	לְהִתְרַעֵם	anger	0.765
firestorm	סופת אש	anger	0.765
contemptible	בָּזוּי	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	אַכְזָרִי	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	קטלני	anger	0.758
smash	לְרַסֵק	anger	0.758
rant	לְדַבֵּר בְּטִרוּף	anger	0.758
outburst	הִתפָּרְצוּת	anger	0.757
snarl	לִנְהוֹם	anger	0.754
profane	לְחַלֵל	anger	0.750
offend	לְהַעֲלִיב	anger	0.750
douchebags	douchebags	anger	0.750
growling	נַהַם	anger	0.750
stfu	סטפו	anger	0.750
vulgarity	ווּלגָרִיוּת	anger	0.750
dontmesswithme	לא	anger	0.750
crazed	מוטרף	anger	0.750
despise	לָבוּז	anger	0.750
horror	חֲרָדָה	anger	0.750
aggravating	מַרגִיז	anger	0.750
revolting	מַגְעִיל	anger	0.750
fuckedoff	דפוק	anger	0.742
threat	אִיוּם	anger	0.742
erupt	לְהִתְפַּרֵץ	anger	0.742
screaming	צועקת	anger	0.742
violence	אַלִימוּת	anger	0.742
horrible	מַחרִיד	anger	0.742
molestation	הַצָקָה	anger	0.742
bastards	ממזרים	anger	0.741
revenge	נְקָמָה	anger	0.738
catastrophe	קטסטרופה	anger	0.735
menacing	מאיימת	anger	0.735
demon	שֵׁד	anger	0.735
crushing	גְרִיסָה	anger	0.735
damn	לעזאזל	anger	0.735
persecute	לִרְדוֹף	anger	0.734
argue	לִטעוֹן	anger	0.734
flog	לְהַלקוֹת	anger	0.734
revolt	מֶרֶד	anger	0.734
thrash	לַחֲבוֹט	anger	0.734
deplore	לִבכּוֹת	anger	0.734
warfare	לוֹחָמָה	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	תַקִיף	anger	0.734
riotous	פָּרוּעַ	anger	0.734
altercation	קְטָטָה	anger	0.729
warlike	מִלחַמתִי	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	מֶרֶד	anger	0.727
castrate	לְסַרֵס	anger	0.727
sabotage	חַבָּלָה	anger	0.727
malevolent	מְרוּשָׁע	anger	0.721
strike	לְהַכּוֹת	anger	0.721
disaster	אסון	anger	0.721
disastrous	אסון	anger	0.720
tumult	הֲמוּלָה	anger	0.719
madden	לְשַׁגֵעַ	anger	0.719
devil	שָׂטָן	anger	0.719
scream	לִצְרוֹחַ	anger	0.719
brutal	אַכְזָרִי	anger	0.719
treachery	בּוֹגדָנוּת	anger	0.719
scorching	הִבהוּב	anger	0.719
vermin	שְׁרָצִים	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	חרא	anger	0.719
aggravates	מחמירה	anger	0.719
spiteful	קַנטְרָנִי	anger	0.719
slay	לִקְטוֹל	anger	0.719
disdain	בּוּז	anger	0.719
choke	לַחֲנוֹק	anger	0.719
bastarding	נבלות	anger	0.719
mangle	לְהַשְׁחִית	anger	0.714
anarchism	אנרכיזם	anger	0.714
mutilation	הַטָלַת מוּם	anger	0.714
criminal	פְּלִילִי	anger	0.714
denunciation	הוֹקָעָה	anger	0.713
punch	פּוּנץ'	anger	0.713
crucifixion	צְלִיבָה	anger	0.712
virulence	אַרסִיוּת	anger	0.712
battled	נלחם	anger	0.712
fatal	קָטלָנִי	anger	0.712
holocaust	שׁוֹאָה	anger	0.712
blasphemous	חילול הקודש	anger	0.712
hurting	כואב	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	נחרד	anger	0.706
atrocious	מְתוֹעָב	anger	0.706
evil	רוע	anger	0.706
irritated	מרוגז	anger	0.706
assassin	מִתנַקֵשׁ	anger	0.703
dicks	זין	anger	0.703
persecution	רְדִיפוּת	anger	0.703
slayer	קוטל	anger	0.703
kidnap	לַחטוֹף	anger	0.703
scolding	גוערת	anger	0.703
intimidation	הַפחָדָה	anger	0.703
aggravated	מחמירות	anger	0.703
aggression	תוֹקפָּנוּת	anger	0.702
armed	חָמוּשׁ	anger	0.700
poison	רַעַל	anger	0.697
snarling	נוהם	anger	0.697
venom	אֶרֶס	anger	0.697
battle	קרב	anger	0.697
disgruntled	מְמוּרמָר	anger	0.693
insidious	חַתרָנִי	anger	0.691
assailant	תוקף	anger	0.691
resentment	טינה	anger	0.691
lynch	לִינץ'	anger	0.690
contemptuous	בוז	anger	0.690
temper	מזג	anger	0.688
imprisonment	מַאֲסָר	anger	0.688
disparage	לִזַלזֵל	anger	0.688
bully	בִּריוֹן	anger	0.688
terrible	נורא	anger	0.688
lunatic	מְטוּרָף	anger	0.688
curse	קללה	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	נרגז	anger	0.688
domination	שְׁלִיטָה	anger	0.688
mad	מְטוּרָף	anger	0.688
infanticide	רצח תינוקות	anger	0.688
volatility	תנודתיות	anger	0.687
eradication	עֲקִירָה	anger	0.685
tantrum	הִתפָּרְצוּת זַעַם	anger	0.682
devastate	לְהַחרִיב	anger	0.682
eradicate	לְבַעֵר	anger	0.682
scoundrel	נָבָל	anger	0.682
aggressively	בתוקפנות	anger	0.680
agitation	תסיסה	anger	0.680
dictatorship	רוֹדָנוּת	anger	0.676
irritates	מגרה	anger	0.676
profanity	ניבולי פה	anger	0.673
egregious	בּוֹלֵט	anger	0.672
expletive	גס	anger	0.672
nasty	מַגְעִיל	anger	0.672
shove	דְחִיפָה	anger	0.672
shot	בְּעִיטָה	anger	0.672
harmful	מַזִיק	anger	0.672
aggravation	הַחמָרָה	anger	0.672
contempt	בּוּז	anger	0.672
poisonous	רעיל	anger	0.672
dastardly	מזוהם	anger	0.672
shoot	לירות	anger	0.672
corrupting	משחית	anger	0.672
condemnation	הוֹקָעָה	anger	0.672
wreak	לִנְקוֹם	anger	0.672
crushed	כָּתוּשׁ	anger	0.672
cruelly	באכזריות	anger	0.672
crime	פֶּשַׁע	anger	0.672
maniac	מְטוּרָף	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	הִתפָּרְצוּת	anger	0.667
odious	נִתעָב	anger	0.667
shooting	יְרִי	anger	0.667
kick	בְּעִיטָה	anger	0.667
aggressive	תוֹקפָּנִי	anger	0.667
combat	לחימה	anger	0.667
shout	צעקה	anger	0.667
hit	מכה	anger	0.667
fight	מַאֲבָק	anger	0.667
cutthroat	רַצחָנִי	anger	0.667
enemy	אוֹיֵב	anger	0.667
irritable	עַצבָּנִי	anger	0.667
punished	נענשו	anger	0.662
ambush	מארב	anger	0.661
yell	לִצְעוֹק	anger	0.661
harass	לְהָצִיק	anger	0.659
malignant	מַמְאִיר	anger	0.656
aggressor	תוֹקפָּן	anger	0.656
antichrist	אנטיכריסט	anger	0.656
gore	לִנְגוֹחַ	anger	0.656
incense	קְטוֹרֶת	anger	0.656
expel	לְגַרֵשׁ	anger	0.656
destruction	הֶרֶס	anger	0.656
grudge	טִינָה	anger	0.656
cranky	עצבני	anger	0.653
offended	נֶעֱלָב	anger	0.652
spank	סְטִירָה	anger	0.652
growl	לִנְהוֹם	anger	0.652
insurrection	הִתקוֹמְמוּת	anger	0.652
reprisal	תַגמוּל	anger	0.652
slave	עֶבֶד	anger	0.652
denounce	לְהוֹקִיעַ	anger	0.652
animosity	אֵיבָה	anger	0.652
insulting	מַעֲלִיב	anger	0.652
clashing	מתנגש	anger	0.652
growls	נהמות	anger	0.649
executioner	תליין	anger	0.644
twat	טווט	anger	0.644
doomsday	יום הדין	anger	0.643
daemon	דמון	anger	0.641
obscenity	מַעֲשֶׂה מְגוּנֶה	anger	0.641
bombard	לְהַפְצִיץ	anger	0.641
spat	ירק	anger	0.641
havoc	הֶרֶס	anger	0.641
feud	סִכסוּך	anger	0.641
grr	grr	anger	0.641
arson	הַצָתָה	anger	0.641
reprimand	לִנְזוֹף	anger	0.641
expulsion	גֵרוּשׁ	anger	0.641
inexcusable	בלתי נסלח	anger	0.641
accused	מואשם	anger	0.641
indignant	מִתרַעֵם	anger	0.641
shackle	לִכבּוֹל	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	פֶּצַע	anger	0.636
suicidal	הִתאַבְּדוּתִי	anger	0.636
poisoned	מוּרעָל	anger	0.636
batter	חמאה	anger	0.636
kicking	בועט	anger	0.636
hanging	תְלִיָה	anger	0.636
spanking	זָרִיז	anger	0.636
disgusting	מגעיל	anger	0.636
combatant	לוֹחֶם	anger	0.636
frustrated	מְתוּסכָּל	anger	0.636
anarchy	אֲנַרכִיָה	anger	0.636
glaring	בּוֹלֵט בְּיוֹתֵר	anger	0.636
inflict	לִגרוֹם	anger	0.633
wrecked	נהרס	anger	0.633
grievous	חָמוּר	anger	0.632
prosecute	לְהַעֲמִיד לָדִין	anger	0.630
agitated	נִסעָר	anger	0.630
cheat	לְרַמוֹת	anger	0.630
swastika	צְלָב קֶרֶס	anger	0.627
defamatory	מַשׁמִיץ	anger	0.625
suffocation	חֶנֶק	anger	0.625
strife	מְרִיבָה	anger	0.625
provocation	פּרוֹבוֹקָצִיָה	anger	0.625
injure	לִפְגוֹעַ	anger	0.625
harassing	הַטרָדָה	anger	0.625
scourge	שׁוֹט	anger	0.625
cursing	מקלל	anger	0.625
betray	לבגוד	anger	0.625
indict	לְהַאֲשִׁים	anger	0.625
raid	לִפְשׁוֹט	anger	0.625
thundering	רוֹעֵם	anger	0.625
enslaved	מְשׁוּעֲבָּד	anger	0.625
arsehole	חור	anger	0.624
insane	מטורף	anger	0.621
fiend	שָׂטָן	anger	0.621
irritate	לְגָרוֹת	anger	0.621
convict	אָסִיר	anger	0.621
jerk	אִידיוֹט	anger	0.621
theft	גְנֵבָה	anger	0.621
retaliation	נְקָמָה	anger	0.621
deprivation	מַחְסוֹר	anger	0.621
cussed	מקומט	anger	0.619
turmoil	אַנְדְרָלָמוּסִיָה	anger	0.618
smack	הֵרוֹאִין	anger	0.615
retribution	גְמוּל	anger	0.614
twats	twats	anger	0.609
intolerable	בִּלתִי נִסבָּל	anger	0.609
rebellion	מֶרֶד	anger	0.609
injurious	פּוֹגֵעַ	anger	0.609
oppressor	מְדַכֵּא	anger	0.609
slavery	עַבדוּת	anger	0.609
irritability	נִרגָנוּת	anger	0.609
collision	הִתנַגְשׁוּת	anger	0.609
bitterly	במרירות	anger	0.609
gang	כְּנוּפִיָה	anger	0.609
antagonism	הִתנַגְדוּת	anger	0.609
battery	סוֹלְלָה	anger	0.609
adverse	שְׁלִילִי	anger	0.609
disgraced	חרפה	anger	0.608
irritating	מְעַצבֵּן	anger	0.606
revolution	מַהְפֵּכָה	anger	0.606
thug	בִּריוֹן	anger	0.606
diatribe	הַתקָפָה חֲרִיפָה	anger	0.606
bombardment	הַפצָצָה	anger	0.606
blast	פיצוץ	anger	0.606
irks	שמקפיץ	anger	0.606
sickening	מַבְחִיל	anger	0.606
discrimination	אַפלָיָה	anger	0.606
antagonistic	אנטגוניסטית	anger	0.606
ranting	מתנשף	anger	0.606
asshole	מְטוּמטָם	anger	0.606
frustrate	לְסַכֵּל	anger	0.604
manipulation	מָנִיפּוּלָצִיָה	anger	0.603
tension	מתח	anger	0.603
insult	לְהַעֲלִיב	anger	0.603
bigot	גדול	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	פּוֹגֵעַ	anger	0.603
oppression	עוֹשֶׁק	anger	0.603
disgust	גועל	anger	0.602
spite	לְהַכעִיס	anger	0.600
intrusive	פולשני	anger	0.598
harshness	גַסוּת	anger	0.597
slur	הַשׁמָצָה	anger	0.596
wretch	עלוב	anger	0.594
inferno	תוֹפֶת	anger	0.594
invasion	פְּלִישָׁה	anger	0.594
puncture	נֶקֶר	anger	0.594
miserable	אוּמלָל	anger	0.594
assail	לִתְקוֹף	anger	0.594
storming	גוֹעֵשׁ	anger	0.594
casualty	נִפגָע	anger	0.594
bitterness	מְרִירוּת	anger	0.594
morbidity	תַחֲלוּאָה	anger	0.594
tempest	סְעָרָה	anger	0.594
consternation	תַדְהֵמָה	anger	0.592
depraved	מושחת	anger	0.591
raving	מִשׁתוֹלֵל	anger	0.591
guillotine	מַעֲרֶפֶת	anger	0.591
guilty	אָשֵׁם	anger	0.591
immoral	לֹא מוּסָרִי	anger	0.591
forcibly	בְּכֹחַ	anger	0.591
overpowering	מְהַמֵם	anger	0.591
accursed	אָרוּר	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	סָרְבָנִי	anger	0.588
invader	פּוֹלֵשׁ	anger	0.588
scare	לְהַפחִיד	anger	0.588
screwed	דָפוּק	anger	0.588
indignation	כַּעַס	anger	0.587
jealousy	קנאה	anger	0.587
vexed	נרגז	anger	0.586
confront	לְהִתְעַמֵת	anger	0.582
brute	פְּרָאִי	anger	0.581
throttle	מַצעֶרֶת	anger	0.579
wreck	לַהֲרוֹס	anger	0.578
revolver	אֶקדָח תוּפִּי	anger	0.578
slut	זוֹנָה	anger	0.578
yousuck	אתה גרוע	anger	0.578
damage	נֵזֶק	anger	0.578
butcher	קַצָב	anger	0.578
conflict	סְתִירָה	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	עבריינות	anger	0.578
bickering	התנצחות	anger	0.578
pillage	לִבזוֹז	anger	0.578
blaze	לֶהָבָה	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	צַעַד מַפתִיעַ	anger	0.578
contentious	שנוי במחלוקת	anger	0.578
incarceration	כְּלִיאָה	anger	0.578
defiant	מתריס	anger	0.578
provoking	מתגרה	anger	0.578
lash	לְהַצְלִיף	anger	0.578
cancer	מחלת הסרטן	anger	0.577
frustration	תסכול	anger	0.576
gory	מְכוּסֶה בָּדָם	anger	0.576
alienation	הִתנַכְּרוּת	anger	0.576
discord	מַחֲלוֹקֶת	anger	0.576
disturbance	הפרעה	anger	0.576
grope	לְגַשֵׁשׁ	anger	0.576
condescension	התנשאות	anger	0.576
pernicious	מַמְאִיר	anger	0.576
blasphemy	חִלוּל הַשֵׁם	anger	0.576
discriminate	לְהָפלוֹת	anger	0.576
chaotic	כאוטי	anger	0.576
gun	אֶקְדָח	anger	0.576
standoff	תֵיקוּ	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	לִלְעוֹג	anger	0.574
lunacy	סַהֲרוּרִיוּת	anger	0.574
oppressive	מֵעִיק	anger	0.574
death	מוות	anger	0.574
jab	דְקִירָה	anger	0.574
cursed	קילל את	anger	0.574
scandalous	שערורייתי	anger	0.574
monstrosity	מִפלֶצֶת	anger	0.574
shit	לְחַרְבֵּן	anger	0.573
disparaging	מזלזל	anger	0.571
slash	קו נטוי	anger	0.571
unfair	לֹא הוֹגֶן	anger	0.571
gallows	גַרדוֹם	anger	0.570
escalate	לְהַסלִים	anger	0.569
intolerant	לֹא סוֹבלָנִי	anger	0.564
lawlessness	הֶפקֵרוּת	anger	0.563
bluddy	bluddy	anger	0.562
perdition	אֲבַדוֹן	anger	0.562
taunt	לְהִתְגַרוֹת	anger	0.562
grouchy	רוֹטְנָנִי	anger	0.562
torpedo	לְטַרפֵּד	anger	0.562
deceived	מְרוּמֶה	anger	0.562
slander	לָשׁוֹן הָרַע	anger	0.562
retards	מפגרים	anger	0.562
bearish	דוּבִּי	anger	0.562
invade	לִפְלוֹשׁ	anger	0.562
bellows	מַפּוּחַ	anger	0.562
beast	חַיָה	anger	0.562
frightful	מַפְחִיד	anger	0.562
derogatory	פּוֹגֵעַ	anger	0.562
glare	מַבָּט נוֹקֵב	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	אָיוֹם	anger	0.562
traitor	בּוֹגֵד	anger	0.562
malign	לְהַשְׁמִיץ	anger	0.562
wrangling	מתנצחת	anger	0.562
dissension	מַחֲלוֹקֶת	anger	0.561
banshee	באנשי	anger	0.561
shatter	לְנַפֵּץ	anger	0.561
conflagration	תַבעֵרָה	anger	0.561
jeopardize	לְסַכֵּן	anger	0.561
thief	גַנָב	anger	0.561
rave	לְהִשְׁתוֹלֵל	anger	0.561
grating	סָרִיג	anger	0.561
devastating	הרסנית	anger	0.561
idiots	אידיוטים	anger	0.561
betrayal	בְּגִידָה	anger	0.561
uncontrollable	בלתי נשלט	anger	0.561
fits	מתאים	anger	0.561
cross	לַחֲצוֹת	anger	0.561
hurt	כאב	anger	0.561
disturbed	מוטרד	anger	0.559
subjugation	שִׁעבּוּד	anger	0.559
stomped	דרכו	anger	0.557
grab	לִתְפּוֹס	anger	0.557
ticked	מתקתקת	anger	0.556
masochism	מָזוֹכִיזם	anger	0.556
grievance	תְלוּנָה	anger	0.556
defiance	הִתנַגְדוּת	anger	0.552
blackmail	לִסְחוֹט	anger	0.550
offensive	הֶתקֵפִי	anger	0.549
decry	לִזַלזֵל	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	הֲפָרָה	anger	0.547
punishment	עֲנִישָׁה	anger	0.547
shrill	צַרחָנִי	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	צד אפל	anger	0.547
misery	אומללות	anger	0.547
frustrates	התסכולים	anger	0.547
disgraceful	מַחְפִּיר	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	שַׁחְצָן	anger	0.547
disparity	פַּעַר	anger	0.547
confine	להגביל	anger	0.547
firearms	נשק	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	מְגוּחָך	anger	0.547
rebel	לִמְרוֹד	anger	0.547
deceive	להטעות	anger	0.547
stolen	גָנוּב	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	מְחוּמָם	anger	0.545
ruined	הָרוּס	anger	0.545
menace	אִיוּם	anger	0.545
humiliate	לְהַשְׁפִּיל	anger	0.545
tackle	לְהִתְמוֹדֵד	anger	0.545
conspirator	קוֹשֵׁר	anger	0.545
foul	מְגוּנֶה	anger	0.545
antagonist	יָרִיב	anger	0.545
resentful	מִתרַעֵם	anger	0.545
prejudice	דעה קדומה	anger	0.545
adversary	יָרִיב	anger	0.545
argument	טַעֲנָה	anger	0.545
skirmish	הִתנַגְשׁוּת	anger	0.545
callous	קָשׁוּחַ	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	סָבוּך	anger	0.544
