word	Sinhala (Sinhalese)-si	emotion	emotion-intensity-score
outraged	කෝපයට පත්	anger	0.964
brutality	කෲරත්වය	anger	0.959
hatred	වෛරය	anger	0.953
hateful	පිළිකුලකි	anger	0.940
terrorize	ත්රස්ත කරනවා	anger	0.939
violently	ප්රචණ්ඩකාරී ලෙස	anger	0.938
infuriated	කෝපාවිෂ්ටයි	anger	0.938
furious	කෝපාවිෂ්ටයි	anger	0.929
enraged	දොස් කියන්න	anger	0.927
furiously	කුතුහලය දනවන	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	මිනීමරුවා	anger	0.922
fury	කෝපාවිෂ්ටයි	anger	0.922
execution	ක්රියාත්මක වීම	anger	0.917
angered	කෝපයට පත් විය	anger	0.916
savagery	ම්ලේච්ඡත්වය	anger	0.915
slaughtering	මැරුවෝය	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	බට්	anger	0.912
annihilation	සමූල ඝාතනය	anger	0.912
assassinate	ඝාතනය කරන්න	anger	0.912
rage	කෝපය	anger	0.911
loathe	පිළිකුලකි	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	දඬුවම් කිරීම	anger	0.906
fucktard	ගෙම්බා	anger	0.906
homicidal	මිනී මැරීමයි	anger	0.906
furor	භීතිකාව	anger	0.900
hostile	සතුරු ය	anger	0.898
annihilate	සමූලඝාතනය	anger	0.898
murder	ඝාතනය කිරීම	anger	0.897
raging	රළුයි	anger	0.896
vengeful	පළිගත	anger	0.894
rape	දූෂණය කිරීම	anger	0.894
ferocious	රුදුරු ය	anger	0.894
pissed	තරහෙන්	anger	0.894
obliterated	අහෝසි විය	anger	0.894
infuriates	කෝපාවිෂ්ටයි	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	පුපුරන සුළුය	anger	0.894
killing	ඝාතනය කිරීම	anger	0.893
combative	සටන්කාමී ය	anger	0.891
gofuckyourself	ගිහිල්ලා	anger	0.886
vengeance	පළිගන්න	anger	0.886
torment	වධ වේදනා	anger	0.885
wrath	උදහස	anger	0.885
vicious	දුෂ්ටය	anger	0.884
massacre	සමූලඝාතනය	anger	0.882
threatening	තර්ජනය කරයි	anger	0.882
pissoff	සින්දු	anger	0.875
abhorrent	පිළිකුල් සහගතය	anger	0.875
bloodthirsty	ලේ පිපාසිත	anger	0.875
fighting	සටන්	anger	0.868
annihilated	විනාශවී තිබේ	anger	0.865
attacking	පහර දුන්නා	anger	0.865
angriest	කෝපයට පත්විය	anger	0.864
bloodshed	ලේ වැගිරීමකි	anger	0.864
smite	කීකරුකම	anger	0.862
brawl	කැළඹී ඇත	anger	0.861
assault	ප්රහාරය	anger	0.859
malicious	ද්වේෂ සහගතයි	anger	0.859
strangle	ගෙල වටිනවා	anger	0.859
tirade	ටයිඩ්රි	anger	0.859
explode	පුපුරා ගියේය	anger	0.859
assassination	ඝාතනය	anger	0.859
hostility	සතුරුකමයි	anger	0.859
loathsome	පිළිකුලකි	anger	0.857
hell	නිරය	anger	0.853
murderous	මිනීමරුවෙකි	anger	0.853
attack	ප්රහාරය	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ත්රස්තවාදයයි	anger	0.851
beating	පහර දෙයි	anger	0.849
desecration	කණගාටුවකි	anger	0.848
pissingmeoff	පිබිදෙව්!	anger	0.848
outrage	කෝපය	anger	0.848
stab	නරකයි	anger	0.844
slaughter	ජනඝාතනය	anger	0.844
violent	ප්රචණ්ඩකාරි	anger	0.844
destroying	විනාශ කිරීමයි	anger	0.844
abomination	පිළිකුලකි	anger	0.844
tumultuous	කලබලකාරීයි	anger	0.844
irate	අමාරුයි	anger	0.844
infuriate	කෝපයට පත් වේ	anger	0.844
obliterate	අහෝසිවනු ඇත	anger	0.843
belligerent	යුදකාමී	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	පිළිකුලකි	anger	0.838
hostilities	එදිරිවාදිකම්	anger	0.837
prick	කකුල	anger	0.835
torture	වධහිංසා පැමිණවීම	anger	0.833
rabid	බය වෙලා	anger	0.833
horrid	නපුරුය	anger	0.833
rampage	ඩැහැගනු ඇත	anger	0.833
cruelty	කෲරත්වය	anger	0.833
hate	වෛර කරනවා	anger	0.828
demonic	යක්ෂයා ය	anger	0.828
hating	වෛර කරනවා	anger	0.828
satanic	සාතන්	anger	0.828
tyrannical	බලහත්කාරය	anger	0.828
ragemode	කරන්න	anger	0.828
despicable	අධම	anger	0.828
ruinous	විනාශකාරීයි	anger	0.825
condemn	හෙලා දකිනවා	anger	0.825
riots	කැරලි	anger	0.824
demolish	කඩා දමන්න	anger	0.824
angry	තරහ ගියා	anger	0.824
extermination	සමූලඝාතනය	anger	0.824
dickhead	ඩිකේඩ්	anger	0.824
livid	ලයිට් වේ	anger	0.821
madman	පිස්සෙක්	anger	0.820
vindictive	වෛරකාරී	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	රෞද්ර	anger	0.818
