word	German-de	emotion	emotion-intensity-score
outraged	empört	anger	0.964
brutality	Brutalität	anger	0.959
hatred	Hass	anger	0.953
hateful	hasserfüllt	anger	0.940
terrorize	terrorisieren	anger	0.939
violently	heftig	anger	0.938
infuriated	wütend	anger	0.938
furious	wütend	anger	0.929
enraged	wütend	anger	0.927
furiously	wütend	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	Mörder	anger	0.922
fury	Wut	anger	0.922
execution	Ausführung	anger	0.917
angered	verärgert	anger	0.916
savagery	Wildheit	anger	0.915
slaughtering	Schlachtung	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	Verpiss dich	anger	0.912
annihilation	Vernichtung	anger	0.912
assassinate	ermorden	anger	0.912
rage	Rage	anger	0.911
loathe	verabscheuen	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	Verdammnis	anger	0.906
fucktard	Fucktard	anger	0.906
homicidal	mörderisch	anger	0.906
furor	Furor	anger	0.900
hostile	feindlich	anger	0.898
annihilate	vernichten	anger	0.898
murder	Mord	anger	0.897
raging	tobend	anger	0.896
vengeful	rachsüchtig	anger	0.894
rape	vergewaltigen	anger	0.894
ferocious	grausam	anger	0.894
pissed	besoffen	anger	0.894
obliterated	ausgelöscht	anger	0.894
infuriates	macht wütend	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	explosiv	anger	0.894
killing	Tötung	anger	0.893
combative	kämpferisch	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	Rache	anger	0.886
torment	quälen	anger	0.885
wrath	Zorn	anger	0.885
vicious	bösartig	anger	0.884
massacre	Massaker	anger	0.882
threatening	bedrohlich	anger	0.882
pissoff	verärgert	anger	0.875
abhorrent	abscheulich	anger	0.875
bloodthirsty	blutrünstig	anger	0.875
fighting	Kampf	anger	0.868
annihilated	vernichtet	anger	0.865
attacking	anzugreifen	anger	0.865
angriest	wütendsten	anger	0.864
bloodshed	Blutvergießen	anger	0.864
smite	schlagen	anger	0.862
brawl	Schlägerei	anger	0.861
assault	Angriff	anger	0.859
malicious	bösartig	anger	0.859
strangle	erwürgen	anger	0.859
tirade	Tirade	anger	0.859
explode	explodieren	anger	0.859
assassination	Ermordung	anger	0.859
hostility	Feindseligkeit	anger	0.859
loathsome	abscheulich	anger	0.857
hell	Hölle	anger	0.853
murderous	mörderisch	anger	0.853
attack	Attacke	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	Terrorismus	anger	0.851
beating	Prügel	anger	0.849
desecration	Entweihung	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	Empörung	anger	0.848
stab	stechen	anger	0.844
slaughter	schlachten	anger	0.844
violent	heftig	anger	0.844
destroying	zerstören	anger	0.844
abomination	Gräuel	anger	0.844
tumultuous	turbulent	anger	0.844
irate	wütend	anger	0.844
infuriate	wütend	anger	0.844
obliterate	auslöschen	anger	0.843
belligerent	kriegerisch	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	verabscheuen	anger	0.838
hostilities	Feindseligkeiten	anger	0.837
prick	Stechen	anger	0.835
torture	Folter	anger	0.833
rabid	tollwütig	anger	0.833
horrid	schrecklich	anger	0.833
rampage	Amoklauf	anger	0.833
cruelty	Grausamkeit	anger	0.833
hate	Hass	anger	0.828
demonic	dämonisch	anger	0.828
hating	hassen	anger	0.828
satanic	satanisch	anger	0.828
tyrannical	tyrannisch	anger	0.828
ragemode	Wutmodus	anger	0.828
despicable	Verabscheuungswürdig	anger	0.828
ruinous	ruinös	anger	0.825
condemn	verurteilen	anger	0.825
riots	Unruhen	anger	0.824
demolish	zerstören	anger	0.824
angry	wütend	anger	0.824
extermination	Vernichtung	anger	0.824
dickhead	Dickkopf	anger	0.824
livid	wütend	anger	0.821
madman	Verrückter	anger	0.820
vindictive	rachsüchtig	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	Wildheit	anger	0.818
venomous	giftig	anger	0.818
threaten	drohen	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	Terrorist	anger	0.818
abhor	verabscheuen	anger	0.816
savage	wild	anger	0.814
atrocity	Gräueltat	anger	0.814
carnage	Gemetzel	anger	0.814
berserk	Berserker	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	Missbrauch	anger	0.812
tyrant	Tyrann	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	angefressen	anger	0.812
vendetta	Vendetta	anger	0.812
fierce	heftig	anger	0.812
destroyer	Zerstörer	anger	0.812
pissesmeoff	Pissesmeoff	anger	0.812
fuming	rauchend	anger	0.812
barbaric	barbarisch	anger	0.812
anger	Zorn	anger	0.811
pieceofshit	Stück Scheiße	anger	0.810
slam	zuschlagen	anger	0.803
fights	Kämpfe	anger	0.803
punched	gelocht	anger	0.803
bitch	Hündin	anger	0.803
punching	Stanzen	anger	0.803
homicide	Mord	anger	0.803
destructive	destruktiv	anger	0.797
ruthless	rücksichtslos	anger	0.797
villainous	schurkisch	anger	0.797
slap	schlagen	anger	0.791
slaughterhouse	Schlachthof	anger	0.788
punishing	bestrafen	anger	0.788
destroyed	zerstört	anger	0.788
retaliatory	Vergeltung	anger	0.788
riot	randalieren	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	Geschrei	anger	0.788
growthefuckup	wachsedasfuckup	anger	0.788
diabolical	teuflisch	anger	0.788
manslaughter	Totschlag	anger	0.783
clash	Zusammenstoß	anger	0.783
bloody	blutig	anger	0.781
hellish	höllisch	anger	0.781
loath	abgeneigt	anger	0.781
detonation	Detonation	anger	0.781
quarrel	Streit	anger	0.781
sinister	unheimlich	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	beschuldigt	anger	0.779
treacherous	tückisch	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	vergelten	anger	0.773
revulsion	Abscheu	anger	0.773
madder	Krapp	anger	0.773
horrific	entsetzlich	anger	0.773
scorn	Verachtung	anger	0.769
deplorable	bedauerlich	anger	0.766
bomb	Bombe	anger	0.766
anarchist	Anarchist	anger	0.765
devastation	Verwüstung	anger	0.765
resent	erneut	anger	0.765
firestorm	Feuersturm	anger	0.765
contemptible	verächtlich	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	grausam	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	tötlich	anger	0.758
smash	Smash	anger	0.758
rant	schimpfen	anger	0.758
outburst	Ausbruch	anger	0.757
snarl	Knurren	anger	0.754
profane	entweihen	anger	0.750
offend	beleidigen	anger	0.750
