word	Sindhi-sd	emotion	emotion-intensity-score
outraged	نڪتو	anger	0.964
brutality	وحشي	anger	0.959
hatred	نفرت	anger	0.953
hateful	نفرت مند آهي	anger	0.940
terrorize	دهشتگردي آهي	anger	0.939
violently	ان جي ابتڙ	anger	0.938
infuriated	ڦڙي وئي	anger	0.938
furious	بيحد آهي	anger	0.929
enraged	ڪري ڇڏيو	anger	0.927
furiously	بيحد آهي	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	قاتل	anger	0.922
fury	غصب	anger	0.922
execution	اعدام	anger	0.917
angered	ڪاوڙجي ويو	anger	0.916
savagery	وحشي	anger	0.915
slaughtering	قتل ڪيو	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	آخرڪار	anger	0.912
annihilation	فنا	anger	0.912
assassinate	قتل ڪيو	anger	0.912
rage	غصب	anger	0.911
loathe	مان سمجهان ٿو	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	سازش	anger	0.906
fucktard	آخرڪار	anger	0.906
homicidal	گهربل	anger	0.906
furor	فروش	anger	0.900
hostile	دشمن	anger	0.898
annihilate	نڀاڳو	anger	0.898
murder	قتل ڪيو	anger	0.897
raging	ٻارڙي	anger	0.896
vengeful	انتقام	anger	0.894
rape	زنده	anger	0.894
ferocious	زبردست	anger	0.894
pissed	مخلص	anger	0.894
obliterated	ننڍو ٿي ويو	anger	0.894
infuriates	اجايو	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ڌماڪي سان	anger	0.894
killing	قتل ڪيو	anger	0.893
combative	گڏجاڻي	anger	0.891
gofuckyourself	وڃايل ماڻهو	anger	0.886
vengeance	انتقام	anger	0.886
torment	عذاب	anger	0.885
wrath	ڏمر	anger	0.885
vicious	مزيدار	anger	0.884
massacre	قتل عام	anger	0.882
threatening	خطرو آهي	anger	0.882
pissoff	مٽيس	anger	0.875
abhorrent	حيرت انگيز	anger	0.875
bloodthirsty	رتبو	anger	0.875
fighting	ويڙهه	anger	0.868
annihilated	زبردست	anger	0.865
attacking	حملو ڪرڻ	anger	0.865
angriest	بلڪل	anger	0.864
bloodshed	خونريزي	anger	0.864
smite	مزيدار	anger	0.862
brawl	ڪفن	anger	0.861
assault	حملو	anger	0.859
malicious	گندو	anger	0.859
strangle	اجنبي	anger	0.859
tirade	ٽڪر	anger	0.859
explode	ڇڏڻ	anger	0.859
assassination	قتل	anger	0.859
hostility	ميزبان	anger	0.859
loathsome	ٿانو	anger	0.857
hell	دوزخ	anger	0.853
murderous	مقتول	anger	0.853
attack	حملو	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	دهشتگردي	anger	0.851
beating	ڏڪڻ	anger	0.849
desecration	رعايت	anger	0.848
pissingmeoff	ماستر	anger	0.848
outrage	نڪتو	anger	0.848
stab	تڪليف	anger	0.844
slaughter	ذلت	anger	0.844
violent	تشدد	anger	0.844
destroying	تباهه ڪرڻ	anger	0.844
abomination	نفرت	anger	0.844
tumultuous	بدمعاشي	anger	0.844
irate	اڻڄاڻ	anger	0.844
infuriate	اڻڄاڻ	anger	0.844
obliterate	هوشيار	anger	0.843
belligerent	ايجاد	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	سڃاڻي ٿو	anger	0.838
hostilities	ميزبانون	anger	0.837
prick	جيترو	anger	0.835
torture	تشدد	anger	0.833
rabid	اڀريو	anger	0.833
horrid	افسوس	anger	0.833
rampage	غصب	anger	0.833
cruelty	ظلم	anger	0.833
hate	نفرت آهي	anger	0.828
demonic	شديد	anger	0.828
hating	ڪوڙا	anger	0.828
satanic	ويڙهاڪ	anger	0.828
tyrannical	ناانصافي	anger	0.828
ragemode	ريڊيڪوڊ	anger	0.828
despicable	نااهل	anger	0.828
ruinous	برباد	anger	0.825
condemn	مذمت ڪري ٿو	anger	0.825
riots	فسادون	anger	0.824
demolish	تباهه ڪرڻ	anger	0.824
angry	ڪاوڙجي ويو	anger	0.824
extermination	ختم ڪرڻ	anger	0.824
dickhead	ڊائريڊٽر	anger	0.824
livid	لاڙيندڙ	anger	0.821
madman	چريو	anger	0.820
vindictive	ويندڙ	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	فڪر	anger	0.818
venomous	ڦاسي	anger	0.818
threaten	خطرو آهي	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	دهشتگرد	anger	0.818
abhor	ابڙو	anger	0.816
savage	وحشي	anger	0.814
atrocity	ظلم	anger	0.814
carnage	قتل عام	anger	0.814
berserk	نڀاڳ	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	غلطي	anger	0.812
tyrant	ظالم	anger	0.812
fucksake	هڻندا	anger	0.812
pissedoff	بي ترتيب	anger	0.812
vendetta	واشنگٽن	anger	0.812
fierce	زبردست	anger	0.812
destroyer	تباهه ڪندڙ	anger	0.812
pissesmeoff	ٻٽيس	anger	0.812
fuming	ڦڦڻ	anger	0.812
barbaric	سوز	anger	0.812
anger	ڪاوڙجي ويو	anger	0.811
pieceofshit	ٽڪرا ٽڪرا	anger	0.810
slam	سليم	anger	0.803
fights	فلاڻي	anger	0.803
punched	وڙهي ويو	anger	0.803
bitch	ڪچڙو	anger	0.803
punching	ڇڪڻ	anger	0.803
homicide	قتل	anger	0.803
destructive	تباهي	anger	0.797
ruthless	ويهه	anger	0.797
villainous	ڦٽي	anger	0.797
slap	تماچي	anger	0.791
slaughterhouse	ٻيلو گھر	anger	0.788
