word	Frisian-fy	emotion	emotion-intensity-score
outraged	ferwûnen	anger	0.964
brutality	brutaliteit	anger	0.959
hatred	hate	anger	0.953
hateful	hateich	anger	0.940
terrorize	terrorearje	anger	0.939
violently	geweldich	anger	0.938
infuriated	frjemd	anger	0.938
furious	geweldig	anger	0.929
enraged	fûleindich	anger	0.927
furiously	geweldig	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	moardner	anger	0.922
fury	grime	anger	0.922
execution	eksekúsje	anger	0.917
angered	geweldig	anger	0.916
savagery	savagery	anger	0.915
slaughtering	slachtoffer	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	opdonderje	anger	0.912
annihilation	annihilaasje	anger	0.912
assassinate	ferrifelje	anger	0.912
rage	rage	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	ferwachting	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	furor	anger	0.900
hostile	fijannich	anger	0.898
annihilate	annihilearje	anger	0.898
murder	moard	anger	0.897
raging	rivier	anger	0.896
vengeful	vengeful	anger	0.894
rape	koalsied	anger	0.894
ferocious	ferwoaste	anger	0.894
pissed	pissed	anger	0.894
obliterated	ferwiderje	anger	0.894
infuriates	frjemd	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	eksplosyf	anger	0.894
killing	killing	anger	0.893
combative	kampioenskip	anger	0.891
gofuckyourself	besoademiterje dysels	anger	0.886
vengeance	wraak	anger	0.886
torment	dochter	anger	0.885
wrath	grime	anger	0.885
vicious	fisk	anger	0.884
massacre	massaazje	anger	0.882
threatening	bedriging	anger	0.882
pissoff	opsodemiterje	anger	0.875
abhorrent	ôfbrekke	anger	0.875
bloodthirsty	bloedige	anger	0.875
fighting	fjochtsje	anger	0.868
annihilated	annihilearre	anger	0.865
attacking	oanfalle	anger	0.865
angriest	angriest	anger	0.864
bloodshed	bloed	anger	0.864
smite	smite	anger	0.862
brawl	brawl	anger	0.861
assault	oanfaller	anger	0.859
malicious	ferkeard	anger	0.859
strangle	strakke	anger	0.859
tirade	tirade	anger	0.859
explode	explodearje	anger	0.859
assassination	assassination	anger	0.859
hostility	fijannigens	anger	0.859
loathsome	tsjuster	anger	0.857
hell	hel	anger	0.853
murderous	murd	anger	0.853
attack	oanfal	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorisme	anger	0.851
beating	beaten	anger	0.849
desecration	ferneatiging	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	skamje	anger	0.848
stab	stekke	anger	0.844
slaughter	slachtoffer	anger	0.844
violent	gewelddiedich	anger	0.844
destroying	ferwoaste	anger	0.844
abomination	abominaasje	anger	0.844
tumultuous	tumultuus	anger	0.844
irate	eare	anger	0.844
infuriate	frjemd	anger	0.844
obliterate	ferwiderje	anger	0.843
belligerent	belligerjend	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ferrifelje	anger	0.838
hostilities	fijannichheden	anger	0.837
prick	prick	anger	0.835
torture	marteling	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	rampage	anger	0.833
cruelty	wredens	anger	0.833
hate	haat	anger	0.828
demonic	demonysk	anger	0.828
hating	hage	anger	0.828
satanic	satanika	anger	0.828
tyrannical	tirannike	anger	0.828
ragemode	ragemode	anger	0.828
despicable	ferbean	anger	0.828
ruinous	ruinous	anger	0.825
condemn	feroardielje	anger	0.825
riots	riots	anger	0.824
demolish	ôfbrekke	anger	0.824
angry	lilk	anger	0.824
extermination	útstel	anger	0.824
dickhead	dickhead	anger	0.824
