word	Marathi-mr	emotion	emotion-intensity-score
outraged	अतिक्रमण	anger	0.964
brutality	क्रूरपणा	anger	0.959
hatred	द्वेष	anger	0.953
hateful	द्वेषपूर्ण	anger	0.940
terrorize	दहशत बसवणे	anger	0.939
violently	बळजबरीने	anger	0.938
infuriated	संतप्त	anger	0.938
furious	रागीट	anger	0.929
enraged	संतप्त	anger	0.927
furiously	विचित्रपणे	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	खुनी	anger	0.922
fury	क्रोध	anger	0.922
execution	अंमलबजावणी	anger	0.917
angered	संतप्त	anger	0.916
savagery	जंगलीपणा	anger	0.915
slaughtering	कत्तल करणे	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	संभोग	anger	0.912
annihilation	नायनाट	anger	0.912
assassinate	हत्या	anger	0.912
rage	राग	anger	0.911
loathe	तिरस्कार वाटणे	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	दंड	anger	0.906
fucktard	स्कार्टेड	anger	0.906
homicidal	हौशी व्यक्ती	anger	0.906
furor	उत्सुकता	anger	0.900
hostile	विरोधी	anger	0.898
annihilate	संपूर्ण विध्वंस करणे	anger	0.898
murder	खून	anger	0.897
raging	उग्र	anger	0.896
vengeful	तापाचा	anger	0.894
rape	बलात्कार	anger	0.894
ferocious	क्रूर	anger	0.894
pissed	नाराज	anger	0.894
obliterated	पुसून टाकली	anger	0.894
infuriates	संतप्त	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	स्फोटक	anger	0.894
killing	प्राणघातक	anger	0.893
combative	भांडखोर	anger	0.891
gofuckyourself	गुंड	anger	0.886
vengeance	सूड	anger	0.886
torment	जाच	anger	0.885
wrath	क्रोध	anger	0.885
vicious	लबाडीचा	anger	0.884
massacre	नरसंहार	anger	0.882
threatening	धमकी	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	घृणास्पद	anger	0.875
bloodthirsty	रक्तपिपासू	anger	0.875
fighting	लढाई	anger	0.868
annihilated	नष्ट केले	anger	0.865
attacking	आक्रमण	anger	0.865
angriest	आकस्मिक	anger	0.864
bloodshed	रक्तपात	anger	0.864
smite	हानी	anger	0.862
brawl	भांडण	anger	0.861
assault	हल्ला	anger	0.859
malicious	दुर्भावनायुक्त	anger	0.859
strangle	गळचेपी	anger	0.859
tirade	गालिप्रदान	anger	0.859
explode	एकदम बाहेर पडणे	anger	0.859
assassination	हत्या	anger	0.859
hostility	द्वेष	anger	0.859
loathsome	घृणास्पद	anger	0.857
hell	नरक	anger	0.853
murderous	खुनी	anger	0.853
attack	हल्ला	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	दहशतवाद	anger	0.851
beating	पराभव	anger	0.849
desecration	भ्रष्टाचार	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	अतिक्रमण	anger	0.848
stab	भोसकणे	anger	0.844
slaughter	कत्तल	anger	0.844
violent	हिंसक	anger	0.844
destroying	नष्ट करणे	anger	0.844
abomination	घृणा	anger	0.844
tumultuous	अतिक्षुब्ध	anger	0.844
irate	क्रुद्ध	anger	0.844
infuriate	पळवाट	anger	0.844
obliterate	पुसून टाका	anger	0.843
belligerent	भांडखोर	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	घृणास्पद	anger	0.838
hostilities	द्वेष	anger	0.837
prick	टोचणे	anger	0.835
torture	छळ	anger	0.833
rabid	पाशवी	anger	0.833
horrid	भयंकर	anger	0.833
rampage	बेफाम वागणे	anger	0.833
cruelty	क्रूरता	anger	0.833
hate	द्वेष	anger	0.828
demonic	आसुरी	anger	0.828
hating	द्वेष	anger	0.828
satanic	सैतानाचे	anger	0.828
tyrannical	अत्याचारी	anger	0.828
ragemode	रागमोड	anger	0.828
despicable	नीच	anger	0.828
ruinous	विध्वंसशील	anger	0.825
condemn	निषेध	anger	0.825
riots	दंगली	anger	0.824
demolish	ध्वस्त करा	anger	0.824
angry	रागावले	anger	0.824
extermination	संपुष्टात येणे	anger	0.824
dickhead	डिकहेड	anger	0.824
livid	स्पष्ट	anger	0.821
madman	वेडा माणूस	anger	0.820
vindictive	दडपशाही	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	क्रूरता	anger	0.818
venomous	विषारी	anger	0.818
threaten	धमकावणे	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	दहशतवादी	anger	0.818
abhor	तिरस्कार करणे	anger	0.816
savage	राक्षसी	anger	0.814
atrocity	अत्याचार	anger	0.814
carnage	कत्तल	anger	0.814
berserk	रागीट	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	दुरुपयोग	anger	0.812
tyrant	जुलमी राजा	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	पिसॉफॉफ	anger	0.812
vendetta	वंशपरंपरागत	anger	0.812
fierce	क्रूर	anger	0.812
destroyer	विध्वंसक	anger	0.812
pissesmeoff	पिसमेसमॉफ	anger	0.812
fuming	धुबकणारा	anger	0.812
barbaric	रानटी	anger	0.812
anger	राग	anger	0.811
pieceofshit	तुकडा	anger	0.810
slam	स्लॅम	anger	0.803
fights	मारामारी	anger	0.803
punched	चेंडू	anger	0.803
bitch	कोल्ही	anger	0.803
punching	पंचिंग	anger	0.803
homicide	खून	anger	0.803
destructive	विध्वंसक	anger	0.797
ruthless	निर्दयी	anger	0.797
villainous	खलनायक	anger	0.797
slap	थप्पड	anger	0.791
slaughterhouse	कत्तलखाना	anger	0.788
punishing	दंड	anger	0.788
destroyed	नष्ट केला	anger	0.788
retaliatory	जशास तसे बदला	anger	0.788
riot	दंगा	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ओरडून	anger	0.788
growthefuckup	वाढूफकअप	anger	0.788
diabolical	दुष्ट	anger	0.788
manslaughter	सदोष मनुष्य	anger	0.783
clash	फासा	anger	0.783
bloody	रक्तरंजित	anger	0.781
hellish	नरकाचा	anger	0.781
loath	घृणा	anger	0.781
detonation	स्फोट	anger	0.781
quarrel	झगडा	anger	0.781
sinister	भयानक	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	आरोप करीत आहे	anger	0.779
treacherous	फसवा	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	बदला घेणे	anger	0.773
revulsion	दुराचरण	anger	0.773
madder	madder	anger	0.773
horrific	भयावह	anger	0.773
scorn	तिरस्कार	anger	0.769
deplorable	शोचनीय	anger	0.766
bomb	बॉम्ब	anger	0.766
anarchist	अराजकतावादी	anger	0.765
devastation	नासधूस	anger	0.765
resent	राग	anger	0.765
firestorm	अग्निशामक	anger	0.765
contemptible	तिरस्कारपूर्ण	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	क्रूर	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	प्राणघातक	anger	0.758
smash	स्मॅश	anger	0.758
rant	शेवाळ	anger	0.758
outburst	उद्रेक	anger	0.757
snarl	घोंघावणे	anger	0.754
profane	अपवित्र	anger	0.750
offend	अपमान करा	anger	0.750
douchebags	डचेचे बॅग	anger	0.750
growling	गुदगुली	anger	0.750
stfu	स्टफू	anger	0.750
vulgarity	असभ्यता	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	वेडा	anger	0.750
despise	तिरस्कार	anger	0.750
horror	भयपट	anger	0.750
aggravating	वृद्धी करणारा	anger	0.750
revolting	विद्रोही	anger	0.750
fuckedoff	गोडोत्सर्ग	anger	0.742
threat	धमकी	anger	0.742
erupt	स्फोट होणे	anger	0.742
screaming	वाटेतच	anger	0.742
violence	हिंसा	anger	0.742
horrible	भयानक	anger	0.742
molestation	विनयभंग	anger	0.742
bastards	कमी किमतीचा	anger	0.741
revenge	बदला	anger	0.738
catastrophe	आपत्ती	anger	0.735
menacing	धमकी देणारा	anger	0.735
demon	राक्षस	anger	0.735
crushing	निर्णायक	anger	0.735
damn	उद्गार	anger	0.735
persecute	छळ	anger	0.734
argue	भांडणे	anger	0.734
flog	चाबकाचा मार	anger	0.734
revolt	बंड	anger	0.734
thrash	झोडपणे	anger	0.734
deplore	पश्चात्ताप	anger	0.734
warfare	युद्ध	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	झुंड	anger	0.734
riotous	दंगलयुक्त	anger	0.734
altercation	भांडण	anger	0.729
warlike	लढवय्या	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	बंड	anger	0.727
castrate	नाजुक	anger	0.727
sabotage	तोडगा	anger	0.727
malevolent	द्वेषपूर्ण	anger	0.721
strike	हणणे	anger	0.721
disaster	आपत्ती	anger	0.721
disastrous	संकटमय	anger	0.720
tumult	गोंधळ	anger	0.719
madden	मूर्ख	anger	0.719
devil	भूत	anger	0.719
scream	किंचाळणे	anger	0.719
brutal	क्रूर	anger	0.719
treachery	विश्वासघात	anger	0.719
scorching	कडक	anger	0.719
vermin	कळपा	anger	0.719
arseholes	अर्सेहोल	anger	0.719
horseshit	घोडाशेट	anger	0.719
aggravates	वृद्धी करते	anger	0.719
spiteful	खुनशी	anger	0.719
slay	मारणे	anger	0.719
disdain	तिरस्कार	anger	0.719
choke	गळा दाटून येणे	anger	0.719
bastarding	प्रतिबंधित	anger	0.719
mangle	मंगल	anger	0.714
anarchism	अराजकता	anger	0.714
mutilation	mutilation	anger	0.714
criminal	गुन्हेगार	anger	0.714
denunciation	तिरस्कार	anger	0.713
punch	असा ठोसा	anger	0.713
crucifixion	सुळावर देणे	anger	0.712
virulence	कुरुपता	anger	0.712
battled	लढले	anger	0.712
fatal	घातक	anger	0.712
holocaust	होलोकॉस्ट	anger	0.712
blasphemous	निंद्य	anger	0.712
hurting	hurting	anger	0.712
dumbasses	गोंधळ	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	वेडा	anger	0.706
atrocious	अत्याचारी	anger	0.706
evil	वाईट	anger	0.706
irritated	चिडचिड	anger	0.706
assassin	मारेकरी	anger	0.703
dicks	डिक्स	anger	0.703
persecution	छळ	anger	0.703
slayer	खुनी	anger	0.703
kidnap	अपहरण करा	anger	0.703
scolding	दादागिरी	anger	0.703
intimidation	धाकदपटशा	anger	0.703
aggravated	वृद्धी	anger	0.703
aggression	आगळीक	anger	0.702
armed	सशस्त्र	anger	0.700
poison	विष	anger	0.697
snarling	snarling	anger	0.697
venom	जहर	anger	0.697
battle	लढाई	anger	0.697
disgruntled	असंतुष्ट	anger	0.693
insidious	कपटी	anger	0.691
assailant	हल्लेखोर	anger	0.691
resentment	संताप	anger	0.691
lynch	लिन्श	anger	0.690
contemptuous	तिरस्कारयुक्त	anger	0.690
temper	मनन	anger	0.688
imprisonment	कारावास	anger	0.688
disparage	उपकार करणे	anger	0.688
bully	दादागिरी	anger	0.688
terrible	भयानक	anger	0.688
lunatic	वेडा	anger	0.688
curse	शाप	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	पेइव्हड	anger	0.688
domination	वर्चस्व	anger	0.688
mad	वेडा	anger	0.688
infanticide	बालसंगोपन	anger	0.688
volatility	अस्थिरता	anger	0.687
eradication	निर्मूलन	anger	0.685
tantrum	क्रोधाचा झटका	anger	0.682
devastate	उद्ध्वस्त होणे	anger	0.682
eradicate	निर्मूलन करणे	anger	0.682
scoundrel	नीच	anger	0.682
aggressively	धडाडीने	anger	0.680
agitation	आंदोलन	anger	0.680
dictatorship	हुकूमशाही	anger	0.676
irritates	चिडचिड	anger	0.676
profanity	असभ्य	anger	0.673
egregious	प्रख्यात	anger	0.672
expletive	निष्फळ	anger	0.672
nasty	ओंगळ	anger	0.672
shove	ढकलणे	anger	0.672
shot	शॉट	anger	0.672
harmful	हानिकारक	anger	0.672
aggravation	उत्तेजन	anger	0.672
contempt	अपमान	anger	0.672
poisonous	विषारी	anger	0.672
dastardly	नाराज	anger	0.672
shoot	शूट करा	anger	0.672
corrupting	दूषित	anger	0.672
condemnation	निषेध	anger	0.672
wreak	कोंबणे	anger	0.672
crushed	सुक्या	anger	0.672
cruelly	निर्दयपणे	anger	0.672
crime	गुन्हा	anger	0.672
maniac	वेडा	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	उद्रेक	anger	0.667
odious	तिरस्करणीय	anger	0.667
shooting	शूटिंग	anger	0.667
kick	लाथ मारा	anger	0.667
aggressive	आक्रमक	anger	0.667
combat	लढा	anger	0.667
shout	ओरडा	anger	0.667
hit	हिट	anger	0.667
fight	लढा	anger	0.667
cutthroat	कपाट	anger	0.667
enemy	शत्रू	anger	0.667
irritable	शीघ्रकोपी	anger	0.667
punished	शिक्षा	anger	0.662
ambush	गुप्तपणे	anger	0.661
yell	चिंधी	anger	0.661
harass	छळ	anger	0.659
malignant	द्वेषयुक्त	anger	0.656
aggressor	आक्रमक	anger	0.656
antichrist	दोघांनाही	anger	0.656
gore	गोर	anger	0.656
incense	धूप	anger	0.656
expel	निष्कासित करा	anger	0.656
destruction	नाश	anger	0.656
grudge	द्वेष	anger	0.656
cranky	विक्षिप्त	anger	0.653
offended	offended	anger	0.652
spank	शिंपडणे	anger	0.652
growl	गुरगुरणे	anger	0.652
insurrection	बंड	anger	0.652
reprisal	सूड	anger	0.652
slave	गुलाम	anger	0.652
denounce	दोष देणे	anger	0.652
animosity	द्वेष	anger	0.652
insulting	अपमानास्पद	anger	0.652
clashing	दाबून मारणे	anger	0.652
growls	वाढते	anger	0.649
executioner	फालावाला	anger	0.644
twat	योनी	anger	0.644
doomsday	जगाचा शेवट	anger	0.643
daemon	डिमन	anger	0.641
obscenity	बीभत्सता	anger	0.641
bombard	भडिमार	anger	0.641
spat	थुंकणे	anger	0.641
