word	Khmer-km	emotion	emotion-intensity-score
outraged	ខឹង	anger	0.964
brutality	ឃោរឃៅ	anger	0.959
hatred	ស្អប់	anger	0.953
hateful	ស្អប់	anger	0.940
terrorize	ភេរវកម្ម	anger	0.939
violently	ហិង្សា	anger	0.938
infuriated	ខឹង	anger	0.938
furious	ខឹងសម្បារ	anger	0.929
enraged	ខឹង	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	ឃាតករ	anger	0.922
fury	កំហឹង	anger	0.922
execution	ការប្រតិបត្តិ	anger	0.917
angered	ខឹង	anger	0.916
savagery	savagery	anger	0.915
slaughtering	ការសំលាប់	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	ការបំផ្លាញ	anger	0.912
assassinate	ធ្វើឃាត	anger	0.912
rage	កំហឹង	anger	0.911
loathe	ស្អប់ខ្ពើម	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	ឃាតកម្ម	anger	0.906
furor	furor	anger	0.900
hostile	សត្រូវ	anger	0.898
annihilate	រំលាយ	anger	0.898
murder	ឃាតកម្ម	anger	0.897
raging	raging	anger	0.896
vengeful	សងសឹក	anger	0.894
rape	ការរំលោភ	anger	0.894
ferocious	កាចសាហាវ	anger	0.894
pissed	ខឹង	anger	0.894
obliterated	លុបចោល	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	រំសេវផ្ទុះ	anger	0.894
killing	សម្លាប់	anger	0.893
combative	combative	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	សងសឹក	anger	0.886
torment	ដាក់ទោស	anger	0.885
wrath	កំហឹង	anger	0.885
vicious	អាក្រក់	anger	0.884
massacre	ការសម្លាប់រង្គាល	anger	0.882
threatening	គំរាមកំហែង	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	ស្អប់ខ្ពើម	anger	0.875
bloodthirsty	ឈាម	anger	0.875
fighting	ការប្រយុទ្ធគ្នា	anger	0.868
annihilated	annihilated	anger	0.865
attacking	វាយប្រហារ	anger	0.865
angriest	angriest	anger	0.864
bloodshed	ការបង្ហូរឈាម	anger	0.864
smite	smite	anger	0.862
brawl	វិវរណៈ	anger	0.861
assault	វាយដំ	anger	0.859
malicious	ព្យាបាទ	anger	0.859
strangle	ច្រមុះ	anger	0.859
tirade	tirade	anger	0.859
explode	ផ្ទុះ	anger	0.859
