word	Luxembourgish-lb	emotion	emotion-intensity-score
outraged	verzien	anger	0.964
brutality	Brutalitéit	anger	0.959
hatred	Haass	anger	0.953
hateful	gaeren	anger	0.940
terrorize	terroriséieren	anger	0.939
violently	gewalteg	anger	0.938
infuriated	beandrockt	anger	0.938
furious	verréckt	anger	0.929
enraged	rosen	anger	0.927
furiously	verréckt	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	Mäerder	anger	0.922
fury	Roserei	anger	0.922
execution	Ausféierung	anger	0.917
angered	Nereeen	anger	0.916
savagery	Staunen	anger	0.915
slaughtering	Schluechung	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	annihiléiert	anger	0.912
assassinate	Ermuerdung fonnt	anger	0.912
rage	Roserei	anger	0.911
loathe	gehaasst	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	Verdammnis	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	ugeklot ass	anger	0.906
furor	Bande	anger	0.900
hostile	feindlech war	anger	0.898
annihilate	vernannt ginn	anger	0.898
murder	Ermordung	anger	0.897
raging	Raging	anger	0.896
vengeful	rachsübergesch	anger	0.894
rape	Geriicht	anger	0.894
ferocious	blesséiert	anger	0.894
pissed	pissed	anger	0.894
obliterated	verloosse misst	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	explosive	anger	0.894
killing	Doudesfäegkeet	anger	0.893
combative	kämpft	anger	0.891
gofuckyourself	Gei féck dech	anger	0.886
vengeance	vengeance	anger	0.886
torment	duer	anger	0.885
wrath	rengt	anger	0.885
vicious	béiser	anger	0.884
massacre	Massaker	anger	0.882
threatening	bedroht	anger	0.882
pissoff	verpiss dech	anger	0.875
abhorrent	ongënschteg sinn	anger	0.875
bloodthirsty	Bluttherberg	anger	0.875
fighting	ze bekämpfen	anger	0.868
annihilated	annulléiert ginn	anger	0.865
attacking	ugräifen	anger	0.865
angriest	Angscht	anger	0.864
bloodshed	Bluttzocker	anger	0.864
smite	schléit	anger	0.862
brawl	Brëll	anger	0.861
assault	Schued	anger	0.859
malicious	béiswëlleg	anger	0.859
strangle	ze erschloen	anger	0.859
tirade	tirade	anger	0.859
explode	explodéieren	anger	0.859
assassination	Ermuerdung	anger	0.859
hostility	Feindlechkeet	anger	0.859
loathsome	loosst	anger	0.857
hell	Hell	anger	0.853
murderous	mäerderesch	anger	0.853
attack	attackéiert	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	Terrorismus	anger	0.851
beating	ze schloën	anger	0.849
desecration	bezeechent	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	Schold	anger	0.848
stab	Stab	anger	0.844
slaughter	Schluechten	anger	0.844
violent	gewalteg	anger	0.844
destroying	ze zerstéieren	anger	0.844
abomination	Abominatioun	anger	0.844
tumultuous	opgewollter	anger	0.844
irate	gewalteg	anger	0.844
infuriate	onerwaart	anger	0.844
obliterate	verléieren	anger	0.843
belligerent	Veruechtungsgeriicht	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	Onsécherheet	anger	0.838
hostilities	gefeiert	anger	0.837
prick	prick	anger	0.835
torture	gefoltert	anger	0.833
rabid	roseg	anger	0.833
horrid	schrecklech	anger	0.833
rampage	rampage	anger	0.833
cruelty	Grausamkeet	anger	0.833
hate	hate	anger	0.828
demonic	demonescher	anger	0.828
hating	ze héieren	anger	0.828
satanic	satanic	anger	0.828
tyrannical	tyrannesch	anger	0.828
ragemode	Ragemodus	anger	0.828
despicable	ze feelen	anger	0.828
ruinous	verierwt	anger	0.825
condemn	verdéngen	anger	0.825
riots	Stiermer	anger	0.824
demolish	ofstierzen	anger	0.824
angry	rosen	anger	0.824
extermination	Exterminatioun	anger	0.824
dickhead	dickhead	anger	0.824
livid	ze lieweg	anger	0.821
madman	Verréckten	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	uginn	anger	0.818
venomous	gëeegent ass	anger	0.818
threaten	bedroht	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	Terrorist	anger	0.818
abhor	genug	anger	0.816
savage	Savage	anger	0.814
atrocity	Grausamkeet	anger	0.814
carnage	carnage	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	Mëssbrauch	anger	0.812
tyrant	Tyrann	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	ugepisst	anger	0.812
vendetta	vendetta	anger	0.812
fierce	Häerzer	anger	0.812
destroyer	Zerstéierung	anger	0.812
pissesmeoff	Pissesmeff	anger	0.812
fuming	fuméieren	anger	0.812
barbaric	barbaresch	anger	0.812
anger	rosen	anger	0.811
pieceofshit	Stéck Schäiss	anger	0.810
slam	Slam	anger	0.803
fights	Kämpf	anger	0.803
punched	ausgeglach	anger	0.803
bitch	gesouch	anger	0.803
punching	gewiescht	anger	0.803
homicide	ugeklot	anger	0.803
destructive	zerstéiert	anger	0.797
ruthless	Onrouen	anger	0.797
villainous	villainous	anger	0.797
slap	ze schloen	anger	0.791
slaughterhouse	Schluechthaus	anger	0.788
punishing	bestrooft	anger	0.788
destroyed	zerstéiert	anger	0.788
retaliatory	retalatory	anger	0.788
riot	Oprou	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	schreift	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolesch sinn	anger	0.788
manslaughter	Onschëlleg ugeet	anger	0.783
clash	Kampf	anger	0.783
bloody	bluddeger	anger	0.781
hellish	hellish	anger	0.781
loath	loosst	anger	0.781
detonation	Detonatioun	anger	0.781
quarrel	sech streiden	anger	0.781
sinister	onheemlech	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	kierpert	anger	0.779
treacherous	verrot	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	Retalie maachen	anger	0.773
revulsion	verscheucht	anger	0.773
madder	Madame	anger	0.773
horrific	schrecklech	anger	0.773
scorn	Aal	anger	0.769
deplorable	schloën	anger	0.766
bomb	Bombe	anger	0.766
anarchist	Anarchist	anger	0.765
devastation	Zerstéierung	anger	0.765
resent	sichen	anger	0.765
firestorm	firestestorm	anger	0.765
contemptible	verwinnt sinn	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	grausam	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	déidlech	anger	0.758
smash	zeechne	anger	0.758
rant	rant	anger	0.758
outburst	brëcht	anger	0.757
snarl	Snarl	anger	0.754
profane	profan	anger	0.750
offend	beleidegt	anger	0.750
douchebags	Duschtbags	anger	0.750
growling	Kéiseker	anger	0.750
stfu	stfu	anger	0.750
vulgarity	Vulgaritéit	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	Verréckt	anger	0.750
despise	veruerteelt	anger	0.750
horror	Horror	anger	0.750
aggravating	erofsetzen	anger	0.750
revolting	Revolting	anger	0.750
fuckedoff	gefollegt	anger	0.742
threat	bedroht	anger	0.742
erupt	gekäppt	anger	0.742
screaming	gejéimert	anger	0.742
violence	Gewalt	anger	0.742
horrible	schrecklech	anger	0.742
molestation	molen	anger	0.742
bastards	Baaschter	anger	0.741
revenge	Revanche	anger	0.738
catastrophe	Katastrof	anger	0.735
menacing	menüden	anger	0.735
demon	Demon	anger	0.735
crushing	d 'Zerkleeder	anger	0.735
damn	vergewaltegt	anger	0.735
persecute	ze Verfollegt	anger	0.734
argue	streiden	anger	0.734
flog	Flog	anger	0.734
revolt	Revolt	anger	0.734
thrash	ze loossen	anger	0.734
deplore	beweegen	anger	0.734
warfare	Krich	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehement	anger	0.734
riotous	onroueg	anger	0.734
altercation	ugeet	anger	0.729
warlike	Kricher	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	Mutin	anger	0.727
castrate	Schlager	anger	0.727
sabotage	Sabotage	anger	0.727
malevolent	béiswëlleg	anger	0.721
strike	Streik	anger	0.721
disaster	Katastroph	anger	0.721
disastrous	fatal	anger	0.720
tumult	Tumult	anger	0.719
