word	Russian-ru	emotion	emotion-intensity-score
outraged	возмущен	anger	0.964
brutality	зверство	anger	0.959
hatred	ненависть	anger	0.953
hateful	ненавистный	anger	0.940
terrorize	терроризировать	anger	0.939
violently	сильно	anger	0.938
infuriated	разъяренный	anger	0.938
furious	яростный	anger	0.929
enraged	разъяренный	anger	0.927
furiously	бешено	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	убийца	anger	0.922
fury	неистовство	anger	0.922
execution	выполнение	anger	0.917
angered	разозлило	anger	0.916
savagery	дикость	anger	0.915
slaughtering	забой	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	уничтожение	anger	0.912
assassinate	убивать	anger	0.912
rage	ярость	anger	0.911
loathe	ненавидеть	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	проклятье	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	смертоносный	anger	0.906
furor	фурор	anger	0.900
hostile	враждебный	anger	0.898
annihilate	аннигилировать	anger	0.898
murder	убийство	anger	0.897
raging	яростный	anger	0.896
vengeful	мстительный	anger	0.894
rape	изнасилование	anger	0.894
ferocious	свирепый	anger	0.894
pissed	пьяный	anger	0.894
obliterated	стирается	anger	0.894
infuriates	бесит	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	взрывной	anger	0.894
killing	убийство	anger	0.893
combative	драчливый	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	отмщение	anger	0.886
torment	мучение	anger	0.885
wrath	гнев	anger	0.885
vicious	порочный	anger	0.884
massacre	бойня	anger	0.882
threatening	угрожающий	anger	0.882
pissoff	отвали	anger	0.875
abhorrent	отвратительный	anger	0.875
bloodthirsty	кровожадный	anger	0.875
fighting	борьба	anger	0.868
annihilated	уничтоженный	anger	0.865
attacking	нападающий	anger	0.865
angriest	angriest	anger	0.864
bloodshed	кровопролитие	anger	0.864
smite	ударять	anger	0.862
brawl	скандалить	anger	0.861
assault	нападение	anger	0.859
malicious	злонамеренный	anger	0.859
strangle	придушить	anger	0.859
tirade	тирада	anger	0.859
explode	взрываться	anger	0.859
assassination	убийство	anger	0.859
hostility	враждебность	anger	0.859
loathsome	отвратительный	anger	0.857
hell	ад	anger	0.853
murderous	убийственный	anger	0.853
attack	атака	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	терроризм	anger	0.851
beating	битье	anger	0.849
desecration	осквернение	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	безобразие	anger	0.848
stab	удар ножом	anger	0.844
slaughter	убой скота	anger	0.844
violent	насильственный	anger	0.844
destroying	разрушающий	anger	0.844
abomination	мерзость	anger	0.844
tumultuous	буйный	anger	0.844
irate	разгневанный	anger	0.844
infuriate	взбесить	anger	0.844
obliterate	уничтожать	anger	0.843
belligerent	воинственный	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ненавидеть	anger	0.838
hostilities	военные действия	anger	0.837
prick	колоть	anger	0.835
torture	пытки	anger	0.833
rabid	бешеный	anger	0.833
horrid	противный	anger	0.833
rampage	буйство	anger	0.833
cruelty	жестокость	anger	0.833
hate	ненавидеть	anger	0.828
demonic	демонический	anger	0.828
hating	ненавидя	anger	0.828
satanic	сатанинский	anger	0.828
tyrannical	тиранический	anger	0.828
ragemode	Режим ярость	anger	0.828
despicable	презренный	anger	0.828
ruinous	губительный	anger	0.825
condemn	осуждать	anger	0.825
riots	массовые беспорядки	anger	0.824
demolish	сносить	anger	0.824
angry	сердитый	anger	0.824
extermination	истребление	anger	0.824
dickhead	залупа	anger	0.824
livid	синевато-багровый	anger	0.821
madman	безумец	anger	0.820
vindictive	мстительный	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	свирепость	anger	0.818
venomous	ядовитый	anger	0.818
threaten	угрожать	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	террорист	anger	0.818
abhor	питать отвращение	anger	0.816
savage	дикарь	anger	0.814
atrocity	зверство	anger	0.814
carnage	резня	anger	0.814
berserk	неистовый	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	злоупотребление	anger	0.812
tyrant	тиран	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	обозленный	anger	0.812
vendetta	вендетта	anger	0.812
fierce	свирепый	anger	0.812
destroyer	разрушитель	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	дымящей	anger	0.812
barbaric	варварский	anger	0.812
anger	гнев	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	хлопать	anger	0.803
fights	бои	anger	0.803
punched	перфорированный	anger	0.803
bitch	сука	anger	0.803
punching	перфорация	anger	0.803
homicide	убийство	anger	0.803
destructive	разрушительный	anger	0.797
ruthless	беспощадный	anger	0.797
villainous	злодейский	anger	0.797
slap	пощечина	anger	0.791
slaughterhouse	скотобойня	anger	0.788
punishing	карающий	anger	0.788
destroyed	разрушенный	anger	0.788
retaliatory	репрессивный	anger	0.788
riot	бунт	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	вопящий	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	дьявольский	anger	0.788
manslaughter	непредумышленное убийство	anger	0.783
clash	столкновение	anger	0.783
bloody	кровавый	anger	0.781
hellish	адский	anger	0.781
loath	не хотелось	anger	0.781
detonation	детонация	anger	0.781
quarrel	ссора	anger	0.781
sinister	зловещий	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	обвинение	anger	0.779
treacherous	вероломный	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	мстить	anger	0.773
revulsion	отвращение	anger	0.773
madder	марена	anger	0.773
horrific	ужасающий	anger	0.773
scorn	презирать	anger	0.769
deplorable	прискорбный	anger	0.766
bomb	бомбить	anger	0.766
anarchist	анархист	anger	0.765
devastation	опустошение	anger	0.765
resent	возмущаться	anger	0.765
firestorm	огненная	anger	0.765
contemptible	презренный	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	жестокий	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	смертоносный	anger	0.758
smash	громить	anger	0.758
rant	декламация	anger	0.758
outburst	взрыв	anger	0.757
snarl	огрызаться	anger	0.754
profane	непосвященный	anger	0.750
offend	обижать	anger	0.750
douchebags	Douchebags	anger	0.750
growling	рычать	anger	0.750
stfu	STFU	anger	0.750
vulgarity	вульгарность	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	сумасшедший	anger	0.750
despise	презирать	anger	0.750
horror	ужастик	anger	0.750
aggravating	ухудшающий	anger	0.750
revolting	отвратительный	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	угроза	anger	0.742
erupt	прорезываться	anger	0.742
screaming	кричащий	anger	0.742
violence	насилие	anger	0.742
horrible	какой ужас	anger	0.742
molestation	назойливость	anger	0.742
bastards	ублюдки	anger	0.741
revenge	жажда мести	anger	0.738
