word	Hindi-hi	emotion	emotion-intensity-score
outraged	गुस्सा	anger	0.964
brutality	निर्दयता	anger	0.959
hatred	घृणा	anger	0.953
hateful	घृणास्पद	anger	0.940
terrorize	आतंकित करना	anger	0.939
violently	बलपूर्वक	anger	0.938
infuriated	व्यथित	anger	0.938
furious	अति क्रुद्ध	anger	0.929
enraged	गुस्से में आया	anger	0.927
furiously	जिस	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	मार डालनेवाला	anger	0.922
fury	रोष	anger	0.922
execution	क्रियान्वयन	anger	0.917
angered	नाराज	anger	0.916
savagery	क्रूरता	anger	0.915
slaughtering	नरसंहार	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	विनाश	anger	0.912
assassinate	हत्या	anger	0.912
rage	क्रोध	anger	0.911
loathe	घृणा करना	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	फटकार	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	मनुष्य वघ-संबंधी	anger	0.906
furor	उत्तेजना	anger	0.900
hostile	शत्रुतापूर्ण	anger	0.898
annihilate	संहार करना	anger	0.898
murder	हत्या	anger	0.897
raging	प्रकोप	anger	0.896
vengeful	तामसिक	anger	0.894
rape	बलात्कार	anger	0.894
ferocious	क्रूर	anger	0.894
pissed	बहुत मदहोश	anger	0.894
obliterated	का नामोनिशान	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	विस्फोटक	anger	0.894
killing	मारना	anger	0.893
combative	जुझारू	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	प्रतिशोध	anger	0.886
torment	यातना	anger	0.885
wrath	कोप	anger	0.885
vicious	शातिर	anger	0.884
massacre	नरसंहार	anger	0.882
threatening	धमकी	anger	0.882
pissoff	दूर जाने का अभद्र संकेत देना	anger	0.875
abhorrent	घिनौना	anger	0.875
bloodthirsty	bloodthirsty	anger	0.875
fighting	मार पिटाई	anger	0.868
annihilated	सत्यानाश	anger	0.865
attacking	पर हमला	anger	0.865
angriest	angriest	anger	0.864
bloodshed	रक्तपात	anger	0.864
smite	हराना	anger	0.862
brawl	विवाद	anger	0.861
assault	हमला	anger	0.859
malicious	दुर्भावनापूर्ण	anger	0.859
strangle	दबाना	anger	0.859
tirade	टाइरैड	anger	0.859
explode	विस्फोट	anger	0.859
assassination	हत्या	anger	0.859
hostility	शत्रुता	anger	0.859
loathsome	वीभत्स	anger	0.857
hell	नरक	anger	0.853
murderous	घातक	anger	0.853
attack	आक्रमण	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	आतंक	anger	0.851
beating	पिटाई	anger	0.849
desecration	अपवित्रता	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	उल्लंघन	anger	0.848
stab	आवेश	anger	0.844
slaughter	वध	anger	0.844
violent	हिंसा करनेवाला	anger	0.844
destroying	नष्ट	anger	0.844
abomination	abomination	anger	0.844
tumultuous	उतार-चढ़ाव भरे	anger	0.844
irate	क्रुद्ध	anger	0.844
infuriate	क्रुद्ध करना	anger	0.844
obliterate	काटना	anger	0.843
belligerent	युद्धरत	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	घृणा करना	anger	0.838
hostilities	शत्रुता	anger	0.837
prick	चुभन	anger	0.835
torture	अत्याचार	anger	0.833
rabid	विक्षिप्त	anger	0.833
horrid	भयंकर	anger	0.833
rampage	हिसात्मक आचरण	anger	0.833
cruelty	क्रूरता	anger	0.833
hate	नफ़रत	anger	0.828
demonic	राक्षसी	anger	0.828
hating	नफरत	anger	0.828
satanic	शैतानी	anger	0.828
tyrannical	अत्याचारी	anger	0.828
ragemode	क्रोधित	anger	0.828
despicable	नाली का कीड़ा	anger	0.828
ruinous	खंडहर वाला	anger	0.825
condemn	निंदा करना	anger	0.825
riots	दंगों	anger	0.824
demolish	ध्वस्त	anger	0.824
