word	Myanmar (Burmese)-my	emotion	emotion-intensity-score
outraged	ဒေါသထွက်	anger	0.964
brutality	ကြမ်းကြုတ်မှု	anger	0.959
hatred	မုန်းတီးမှု	anger	0.953
hateful	မုန်းထားသော	anger	0.940
terrorize	ခွောကျလှနျ့	anger	0.939
violently	အကြမ်းဖက်	anger	0.938
infuriated	infuriated	anger	0.938
furious	ပြင်းထန်သော	anger	0.929
enraged	စိတ်ပူပန်	anger	0.927
furiously	ဟုန်းဟုန်း	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	လူသတ်သမား	anger	0.922
fury	ဒေါသ	anger	0.922
execution	သတ်ခြင်း	anger	0.917
angered	ဒေါသထွက်	anger	0.916
savagery	ကြမ်းကြုတ်	anger	0.915
slaughtering	လုပ်ကြံ	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	ပပြောကျစခွေငျး	anger	0.912
assassinate	ခြောငျးမွောငျးသတျဖွတျ	anger	0.912
rage	အမျက်ဒေါသ	anger	0.911
loathe	ရွံမုန်းတဲ့	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	လူသတ်သမား	anger	0.906
furor	furor	anger	0.900
hostile	ရန်ဘက်ပြုသော	anger	0.898
annihilate	ပပြောကျစေ	anger	0.898
murder	လူသတ်မှု	anger	0.897
raging	ဟုန်းဟုန်းတောက်လောင်	anger	0.896
vengeful	ငွိုးအတေးကွီး	anger	0.894
rape	မုဒိမ်းကျင့်	anger	0.894
ferocious	ကွမျးကွု	anger	0.894
pissed	pissed	anger	0.894
obliterated	ဖျက်ဆီး	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ပေါကျကှဲစတေတျသော	anger	0.894
killing	သတ်ဖြတ်မှု	anger	0.893
combative	တိုက်ခိုက်	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	အမျက်တော်ပြေခြင်း	anger	0.886
torment	အလွန်နာကျင်စေ	anger	0.885
wrath	အမျက်ဒေါသ	anger	0.885
vicious	ဆိုး	anger	0.884
massacre	အများကိုရက်စက်စွာသတ်	anger	0.882
threatening	ခြိမ်းခြောက်	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	စက်ဆုတ်ရွံ့ရှာ	anger	0.875
bloodthirsty	အသက်ကိုသတ်တတ်သောသူတို့သည်	anger	0.875
fighting	တိုက်ပွဲများ	anger	0.868
annihilated	ဖကျြဆီး	anger	0.865
attacking	တိုက်ခိုက်ခြင်း	anger	0.865
angriest	angriest	anger	0.864
bloodshed	သတ်ဖြတ်ခြင်း	anger	0.864
smite	ဒဏ်ခတ်	anger	0.862
brawl	ရန်ပွဲ	anger	0.861
assault	တိုက်ခိုက်ခြင်း	anger	0.859
malicious	အန္တရာယ်ရှိတဲ့	anger	0.859
strangle	လည်မျိုညှစ်	anger	0.859
tirade	သွန်	anger	0.859
explode	ပေါကျကှဲ	anger	0.859
