word	Azeerbaijani-az	emotion	emotion-intensity-score
outraged	qəzəbləndi	anger	0.964
brutality	qəddarlıq	anger	0.959
hatred	nifrət	anger	0.953
hateful	nifrət edir	anger	0.940
terrorize	terrorizm	anger	0.939
violently	şiddətlə	anger	0.938
infuriated	qəzəbləndi	anger	0.938
furious	qəzəbli	anger	0.929
enraged	qəzəbləndi	anger	0.927
furiously	qəzəbləndi	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	qatil	anger	0.922
fury	qəzəb	anger	0.922
execution	icra	anger	0.917
angered	qəzəbləndi	anger	0.916
savagery	xəyanət	anger	0.915
slaughtering	qətl	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	sanki	anger	0.912
annihilation	məhv	anger	0.912
assassinate	sui-qəsd	anger	0.912
rage	qəzəb	anger	0.911
loathe	nifrət	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	lənətləmək	anger	0.906
fucktard	sanki	anger	0.906
homicidal	cinayet	anger	0.906
furor	furor	anger	0.900
hostile	düşmən	anger	0.898
annihilate	məhv etmək	anger	0.898
murder	cinayəti	anger	0.897
raging	qəzəbləndi	anger	0.896
vengeful	intiqam al	anger	0.894
rape	təcavüz	anger	0.894
ferocious	şiddətli	anger	0.894
pissed	pissed	anger	0.894
obliterated	obliterated	anger	0.894
infuriates	qəzəbləndi	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	partlayıcı	anger	0.894
killing	öldürmə	anger	0.893
combative	məşqçi	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	intiqam	anger	0.886
torment	əzab	anger	0.885
wrath	qəzəb	anger	0.885
vicious	qəddar	anger	0.884
massacre	qırğın	anger	0.882
threatening	təhdid edir	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	nifrət	anger	0.875
bloodthirsty	qanlıyor	anger	0.875
fighting	döyüş	anger	0.868
annihilated	məhv edildi	anger	0.865
attacking	hücum	anger	0.865
angriest	qəzəbləndi	anger	0.864
bloodshed	qan axdı	anger	0.864
smite	smite	anger	0.862
brawl	dava	anger	0.861
assault	basqın	anger	0.859
malicious	zərərli	anger	0.859
strangle	boğmaq	anger	0.859
tirade	tirade	anger	0.859
explode	partlayır	anger	0.859
assassination	sui-qəsd	anger	0.859
hostility	düşmənçilik	anger	0.859
loathsome	ləzzətli	anger	0.857
hell	Cəhənnəm	anger	0.853
murderous	öldürücü	anger	0.853
attack	hücum	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorizm	anger	0.851
beating	döymək	anger	0.849
