word	Dutch-nl	emotion	emotion-intensity-score
outraged	diep verontwaardigd	anger	0.964
brutality	beestachtigheid	anger	0.959
hatred	haat	anger	0.953
hateful	hatelijk	anger	0.940
terrorize	terroriseren	anger	0.939
violently	met geweld	anger	0.938
infuriated	woedend	anger	0.938
furious	woedend	anger	0.929
enraged	verwoed	anger	0.927
furiously	woedend	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	moordenaar	anger	0.922
fury	woede	anger	0.922
execution	executie	anger	0.917
angered	boos	anger	0.916
savagery	wreedheid	anger	0.915
slaughtering	slachten	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	vernietiging	anger	0.912
assassinate	vermoorden	anger	0.912
rage	woede	anger	0.911
loathe	verafschuwen	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	verdoemenis	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	moorddadig	anger	0.906
furor	furore	anger	0.900
hostile	vijandig	anger	0.898
annihilate	vernietigen	anger	0.898
murder	moord	anger	0.897
raging	woedend	anger	0.896
vengeful	wraakgierig	anger	0.894
rape	verkrachting	anger	0.894
ferocious	woest	anger	0.894
pissed	dronken	anger	0.894
obliterated	uitgewist	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ontplofbaar	anger	0.894
killing	doden	anger	0.893
combative	strijdlustig	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	wraak	anger	0.886
torment	kwelling	anger	0.885
wrath	toorn	anger	0.885
vicious	verdorven	anger	0.884
massacre	bloedbad	anger	0.882
threatening	dreigend	anger	0.882
pissoff	donder op	anger	0.875
abhorrent	weerzinwekkend	anger	0.875
bloodthirsty	bloeddorstig	anger	0.875
fighting	vechten	anger	0.868
annihilated	vernietigd	anger	0.865
attacking	aanvallende	anger	0.865
angriest	angriest	anger	0.864
bloodshed	bloedvergieten	anger	0.864
smite	slaan	anger	0.862
brawl	ruzie	anger	0.861
assault	aanval	anger	0.859
malicious	kwaadaardig	anger	0.859
strangle	wurgen	anger	0.859
tirade	tirade	anger	0.859
explode	ontploffen	anger	0.859
assassination	moord	anger	0.859
hostility	vijandigheid	anger	0.859
loathsome	walgelijk	anger	0.857
hell	hel	anger	0.853
murderous	moorddadig	anger	0.853
attack	aanval	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorisme	anger	0.851
beating	pak slaag	anger	0.849
desecration	ontheiliging	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	verontwaardiging	anger	0.848
stab	steken	anger	0.844
slaughter	slachten	anger	0.844
violent	gewelddadig	anger	0.844
destroying	vernietigen	anger	0.844
abomination	gruwel	anger	0.844
tumultuous	onstuimig	anger	0.844
irate	verbolgen	anger	0.844
infuriate	woeden	anger	0.844
obliterate	uitwissen	anger	0.843
belligerent	strijdlustig	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	verafschuwen	anger	0.838
hostilities	vijandelijkheden	anger	0.837
prick	prik	anger	0.835
torture	martelen	anger	0.833
rabid	dol	anger	0.833
horrid	afschuwelijk	anger	0.833
rampage	rampage	anger	0.833
cruelty	wreedheid	anger	0.833
hate	een hekel hebben aan	anger	0.828
demonic	demonisch	anger	0.828
hating	haten	anger	0.828
satanic	satanische	anger	0.828
tyrannical	tiranniek	anger	0.828
ragemode	ragemode	anger	0.828
