word	Icelandic-is	emotion	emotion-intensity-score
outraged	outraged	anger	0.964
brutality	grimmd	anger	0.959
hatred	hatri	anger	0.953
hateful	hateful	anger	0.940
terrorize	hryðjuverka	anger	0.939
violently	ofbeldi	anger	0.938
infuriated	infuriated	anger	0.938
furious	trylltur	anger	0.929
enraged	reiður	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	morðingi	anger	0.922
fury	heift	anger	0.922
execution	framkvæmd	anger	0.917
angered	reiður	anger	0.916
savagery	vilji	anger	0.915
slaughtering	slátrun	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	afnám	anger	0.912
assassinate	myrða	anger	0.912
rage	reiði	anger	0.911
loathe	hryggja	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	fordæmingu	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	morðingi	anger	0.906
furor	furor	anger	0.900
hostile	fjandsamlegt	anger	0.898
annihilate	tortíma	anger	0.898
murder	morð	anger	0.897
raging	reiði	anger	0.896
vengeful	vengeful	anger	0.894
rape	nauðgun	anger	0.894
ferocious	grimmur	anger	0.894
pissed	reiður	anger	0.894
obliterated	útrýmt	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	sprengiefni	anger	0.894
killing	drepa	anger	0.893
combative	greiða	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	hefnd	anger	0.886
torment	kvöl	anger	0.885
wrath	reiði	anger	0.885
vicious	grimmur	anger	0.884
massacre	fjöldamorðin	anger	0.882
threatening	ógnandi	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	blóðþyrsta	anger	0.875
fighting	berjast	anger	0.868
annihilated	útrýmt	anger	0.865
attacking	ráðast á	anger	0.865
angriest	angriest	anger	0.864
bloodshed	blóðsúthelling	anger	0.864
smite	slá	anger	0.862
brawl	brawl	anger	0.861
assault	árás	anger	0.859
malicious	illgjarn	anger	0.859
strangle	kúla	anger	0.859
tirade	tirade	anger	0.859
explode	sprungið	anger	0.859
assassination	morð	anger	0.859
hostility	fjandskapur	anger	0.859
loathsome	léleg	anger	0.857
hell	helvíti	anger	0.853
murderous	murderous	anger	0.853
attack	árás	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	hryðjuverk	anger	0.851
beating	berja	anger	0.849
desecration	afskriftir	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	outrage	anger	0.848
stab	stunga	anger	0.844
slaughter	slátrun	anger	0.844
violent	ofbeldi	anger	0.844
destroying	eyðileggja	anger	0.844
abomination	gnægð	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	útrýma	anger	0.843
belligerent	belligerent	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	afneita	anger	0.838
hostilities	óvinir	anger	0.837
prick	prick	anger	0.835
torture	pyntingar	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	Rampage	anger	0.833
cruelty	grimmd	anger	0.833
hate	hata	anger	0.828
demonic	demonic	anger	0.828
hating	hata	anger	0.828
satanic	satanic	anger	0.828
tyrannical	tyrannical	anger	0.828
ragemode	ragemode	anger	0.828
despicable	fyrirlitlegur	anger	0.828
ruinous	eyðileggjandi	anger	0.825
condemn	fordæma	anger	0.825
riots	uppþot	anger	0.824
demolish	rífa niður	anger	0.824
angry	reiður	anger	0.824
extermination	útrýmingu	anger	0.824
dickhead	Dickhead	anger	0.824
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	eitraður	anger	0.818
threaten	ógna	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	hryðjuverkamaður	anger	0.818
abhor	abhor	anger	0.816
savage	Savage	anger	0.814
atrocity	grimmdarverk	anger	0.814
carnage	særindi	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	misnotkun	anger	0.812
tyrant	tyrann	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pirraður	anger	0.812
vendetta	vendetta	anger	0.812
fierce	grimmur	anger	0.812
destroyer	Destroyer	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbaric	anger	0.812
anger	reiði	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	berst	anger	0.803
punched	sleginn	anger	0.803
bitch	tíkur	anger	0.803
punching	gata	anger	0.803
homicide	morði	anger	0.803
destructive	eyðileggjandi	anger	0.797
ruthless	miskunnarlaus	anger	0.797
villainous	illmenni	anger	0.797
slap	smellu	anger	0.791
slaughterhouse	sláturhús	anger	0.788
punishing	refsa	anger	0.788
destroyed	eytt	anger	0.788
retaliatory	retaliatory	anger	0.788
riot	uppþot	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	öskra	anger	0.788
growthefuckup	Growthefuckup	anger	0.788
diabolical	djöfulleg	anger	0.788
manslaughter	mannrán	anger	0.783
clash	skellur	anger	0.783
bloody	blóðug	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	detonation	anger	0.781
quarrel	deila	anger	0.781
sinister	óheillvænlegur	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	ásakandi	anger	0.779
treacherous	sviksamlega	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	retaliate	anger	0.773
revulsion	uppreisn	anger	0.773
madder	madder	anger	0.773
horrific	hræðilegt	anger	0.773
scorn	scorn	anger	0.769
deplorable	þakklátur	anger	0.766
bomb	sprengju	anger	0.766
anarchist	anarkista	anger	0.765
devastation	eyðilegging	anger	0.765
resent	resent	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	fyrirlitlegur	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	grimmur	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	banvænn	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	útbrot	anger	0.757
snarl	snarl	anger	0.754
profane	vanheilagt	anger	0.750
offend	móðga	anger	0.750
douchebags	douchebags	anger	0.750
growling	growling	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarity	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	fyrirlíta	anger	0.750
horror	hryllingi	anger	0.750
aggravating	versna	anger	0.750
revolting	uppreisnarmanna	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	ógn	anger	0.742
erupt	gosið	anger	0.742
screaming	öskra	anger	0.742
violence	ofbeldi	anger	0.742
horrible	hræðilegt	anger	0.742
molestation	molestation	anger	0.742
bastards	bastards	anger	0.741
revenge	hefnd	anger	0.738
catastrophe	stórslys	anger	0.735
menacing	ógnandi	anger	0.735
demon	illi andinn	anger	0.735
crushing	alger	anger	0.735
damn	fjandinn	anger	0.735
persecute	ofsækja	anger	0.734
argue	rífast	anger	0.734
flog	flog	anger	0.734
revolt	uppreisn	anger	0.734
thrash	hrun	anger	0.734
deplore	deplore	anger	0.734
warfare	hernaði	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	heppinn	anger	0.734
riotous	riotous	anger	0.734
altercation	breyting	anger	0.729
warlike	Warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mútur	anger	0.727
castrate	castrate	anger	0.727
sabotage	skemmdarverk	anger	0.727
malevolent	illgjarn	anger	0.721
strike	verkfall	anger	0.721
disaster	hörmung	anger	0.721
disastrous	hörmulegur	anger	0.720
tumult	uppþot	anger	0.719
madden	madden	anger	0.719
devil	djöfullinn	anger	0.719
scream	öskra	anger	0.719
brutal	grimmur	anger	0.719
treachery	svik	anger	0.719
scorching	brennandi	anger	0.719
vermin	meindýr	anger	0.719
arseholes	arsehols	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	versnar	anger	0.719
spiteful	spiteful	anger	0.719
slay	drepa	anger	0.719
disdain	fyrirlitning	anger	0.719
choke	choke	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarkismi	anger	0.714
mutilation	niðurbrot	anger	0.714
criminal	glæpamaður	anger	0.714
denunciation	uppsögn	anger	0.713
punch	kýla	anger	0.713
crucifixion	krossfesting	anger	0.712
virulence	virulence	anger	0.712
battled	battled	anger	0.712
fatal	banvæn	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	guðlast	anger	0.712
hurting	meiða	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	afvegaleiddur	anger	0.706
atrocious	gremjulegur	anger	0.706
evil	illt	anger	0.706
irritated	pirruð	anger	0.706
assassin	morðingi	anger	0.703
dicks	dicks	anger	0.703
persecution	ofsóknir	anger	0.703
slayer	slayer	anger	0.703
kidnap	ræna	anger	0.703
scolding	scolding	anger	0.703
intimidation	hótun	anger	0.703
aggravated	versnað	anger	0.703
aggression	árásargirni	anger	0.702
armed	vopnaðir	anger	0.700
poison	eitur	anger	0.697
snarling	snarling	anger	0.697
venom	eitri	anger	0.697
battle	bardaga	anger	0.697
disgruntled	óánægður	anger	0.693
insidious	skaðleg	anger	0.691
assailant	árásarmaður	anger	0.691
resentment	gremju	anger	0.691
lynch	Lynch	anger	0.690
contemptuous	fyrirlitlegur	anger	0.690
temper	skapi	anger	0.688
imprisonment	fangelsi	anger	0.688
disparage	disparage	anger	0.688
bully	bölvun	anger	0.688
terrible	hræðilegt	anger	0.688
lunatic	lunatic	anger	0.688
curse	bölva	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	yfirráð	anger	0.688
mad	vitlaus	anger	0.688
infanticide	ungbarnabyggð	anger	0.688
volatility	sveiflur	anger	0.687
eradication	útrýmingu	anger	0.685
tantrum	tantrum	anger	0.682
devastate	hrikalegt	anger	0.682
eradicate	útrýma	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	hart	anger	0.680
agitation	óróa	anger	0.680
dictatorship	einræði	anger	0.676
irritates	ertir	anger	0.676
profanity	hógværð	anger	0.673
egregious	egregious	anger	0.672
expletive	útskýra	anger	0.672
nasty	viðbjóðslegur	anger	0.672
shove	Shove	anger	0.672
shot	skot	anger	0.672
harmful	skaðlegt	anger	0.672
aggravation	versnun	anger	0.672
contempt	fyrirlitning	anger	0.672
poisonous	eitraður	anger	0.672
dastardly	dapurlega	anger	0.672
shoot	skjóta	anger	0.672
corrupting	skemmdir	anger	0.672
condemnation	fordæming	anger	0.672
wreak	wreak	anger	0.672
crushed	mulið	anger	0.672
cruelly	grimmur	anger	0.672
crime	glæpur	anger	0.672
maniac	Maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	eldgos	anger	0.667
odious	odious	anger	0.667
shooting	skjóta	anger	0.667
kick	sparka	anger	0.667
aggressive	árásargjarn	anger	0.667
combat	berjast gegn	anger	0.667
shout	hrópa	anger	0.667
hit	högg	anger	0.667
fight	bardagi	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	óvinur	anger	0.667
irritable	pirrandi	anger	0.667
punished	refsað	anger	0.662
ambush	afli	anger	0.661
yell	öskra	anger	0.661
harass	áreita	anger	0.659
malignant	illkynja	anger	0.656
aggressor	árásarmaður	anger	0.656
antichrist	andkristur	anger	0.656
gore	Gore	anger	0.656
incense	reykelsi	anger	0.656
expel	útrýma	anger	0.656
destruction	eyðileggingu	anger	0.656
grudge	grudge	anger	0.656
cranky	cranky	anger	0.653
offended	svikinn	anger	0.652
spank	spank	anger	0.652
growl	growl	anger	0.652
insurrection	upprisa	anger	0.652
reprisal	reprisal	anger	0.652
slave	þræll	anger	0.652
denounce	segja upp	anger	0.652
animosity	fjandskap	anger	0.652
insulting	móðgandi	anger	0.652
clashing	hrynja	anger	0.652
growls	grímur	anger	0.649
executioner	bardagamaður	anger	0.644
twat	twat	anger	0.644
doomsday	dómsdagur	anger	0.643
daemon	púkinn	anger	0.641
obscenity	hindrun	anger	0.641
bombard	bombard	anger	0.641
spat	skeið	anger	0.641
havoc	eyðilegging	anger	0.641
feud	feud	anger	0.641
grr	grr	anger	0.641
arson	vopnabúr	anger	0.641
reprimand	áminning	anger	0.641
expulsion	brottvísun	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	sakaður	anger	0.641
indignant	reiður	anger	0.641
shackle	sjakki	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	sár	anger	0.636
suicidal	sjálfsvígshugsanir	anger	0.636
poisoned	eitrað	anger	0.636
batter	batter	anger	0.636
kicking	sparka	anger	0.636
hanging	hangandi	anger	0.636
spanking	spanking	anger	0.636
disgusting	ógeðslegt	anger	0.636
combatant	stríðsmaður	anger	0.636
frustrated	svekktur	anger	0.636
anarchy	stjórnleysi	anger	0.636
glaring	auðsær	anger	0.636
inflict	valdið	anger	0.633
wrecked	flakið	anger	0.633
