word	Romanian-ro	emotion	emotion-intensity-score
outraged	revoltat	anger	0.964
brutality	brutalitate	anger	0.959
hatred	ură	anger	0.953
hateful	odios	anger	0.940
terrorize	teroriza	anger	0.939
violently	violent	anger	0.938
infuriated	înfuriat	anger	0.938
furious	furios	anger	0.929
enraged	înfuriat	anger	0.927
furiously	mânios	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	criminal	anger	0.922
fury	furie	anger	0.922
execution	execuţie	anger	0.917
angered	înfuriat	anger	0.916
savagery	sălbăticie	anger	0.915
slaughtering	abatorizare	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	anihilare	anger	0.912
assassinate	asasina	anger	0.912
rage	furie	anger	0.911
loathe	repugna	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnațiune	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	ucigător	anger	0.906
furor	furor	anger	0.900
hostile	ostil	anger	0.898
annihilate	anihila	anger	0.898
murder	crimă	anger	0.897
raging	furios	anger	0.896
vengeful	răzbunător	anger	0.894
rape	viol	anger	0.894
ferocious	feroce	anger	0.894
pissed	ofticat	anger	0.894
obliterated	obliterate	anger	0.894
infuriates	înfurie	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	exploziv	anger	0.894
killing	ucidere	anger	0.893
combative	combativ	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	răzbunare	anger	0.886
torment	chin	anger	0.885
wrath	mânie	anger	0.885
vicious	vicios	anger	0.884
massacre	masacru	anger	0.882
threatening	amenințător	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	respingător	anger	0.875
bloodthirsty	setos de sânge	anger	0.875
fighting	luptă	anger	0.868
annihilated	anihilat	anger	0.865
attacking	atacare	anger	0.865
angriest	manios	anger	0.864
bloodshed	vărsare de sânge	anger	0.864
smite	lovi	anger	0.862
brawl	certa	anger	0.861
assault	asalt	anger	0.859
malicious	rău	anger	0.859
strangle	sugruma	anger	0.859
tirade	tiradă	anger	0.859
explode	exploda	anger	0.859
assassination	asasinat	anger	0.859
hostility	ostilitate	anger	0.859
loathsome	scârbos	anger	0.857
hell	iad	anger	0.853
murderous	ucigător	anger	0.853
attack	atac	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorism	anger	0.851
beating	bătaie	anger	0.849
desecration	profanare	anger	0.848
pissingmeoff	ma enerveaza	anger	0.848
outrage	ultraj	anger	0.848
stab	înjunghia	anger	0.844
slaughter	măcel	anger	0.844
violent	violent	anger	0.844
destroying	distruge	anger	0.844
abomination	scârbă	anger	0.844
tumultuous	tumultuos	anger	0.844
irate	iritat	anger	0.844
infuriate	înfuria	anger	0.844
obliterate	șterge orice urmă de	anger	0.843
belligerent	beligerant	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detesta	anger	0.838
hostilities	ostilități	anger	0.837
prick	înțepătură	anger	0.835
torture	tortura	anger	0.833
rabid	turbat	anger	0.833
horrid	oribil	anger	0.833
rampage	ieşire violentă	anger	0.833
cruelty	cruzime	anger	0.833
hate	ură	anger	0.828
demonic	demonic	anger	0.828
hating	urând	anger	0.828
satanic	satanic	anger	0.828
tyrannical	tiranic	anger	0.828
ragemode	Modul furios	anger	0.828
despicable	josnic	anger	0.828
ruinous	ruinător	anger	0.825
condemn	condamna	anger	0.825
riots	dezordine	anger	0.824
demolish	demola	anger	0.824
angry	furios	anger	0.824
extermination	exterminare	anger	0.824
dickhead	cretinule	anger	0.824
livid	livid	anger	0.821
madman	nebun	anger	0.820
vindictive	răzbunător	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocitate	anger	0.818
venomous	veninos	anger	0.818
threaten	a ameninta	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terorist	anger	0.818
abhor	detesta	anger	0.816
savage	sălbatic	anger	0.814
atrocity	atrocitate	anger	0.814
carnage	măcel	anger	0.814
berserk	înnebunit	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abuz	anger	0.812
tyrant	tiran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	enervat	anger	0.812
vendetta	vendetă	anger	0.812
fierce	feroce	anger	0.812
destroyer	distrugător	anger	0.812
pissesmeoff	ma enerveaza	anger	0.812
fuming	fumans	anger	0.812
barbaric	barbar	anger	0.812
anger	furie	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	șlem	anger	0.803
fights	lupte	anger	0.803
punched	pocnit	anger	0.803
bitch	căţea	anger	0.803
punching	stantare	anger	0.803
homicide	omucidere	anger	0.803
destructive	distructiv	anger	0.797
ruthless	nemilos	anger	0.797
villainous	mizerabil	anger	0.797
slap	palmă	anger	0.791
slaughterhouse	abator	anger	0.788
punishing	pedepsirea	anger	0.788
destroyed	distrus	anger	0.788
retaliatory	de represalii	anger	0.788
riot	răscoală	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	țipi	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolic	anger	0.788
manslaughter	omor prin imprudenţă	anger	0.783
clash	ciocnire	anger	0.783
bloody	sângeros	anger	0.781
hellish	infernal	anger	0.781
loath	potrivnic	anger	0.781
detonation	detonaţie	anger	0.781
quarrel	ceartă	anger	0.781
sinister	sinistru	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	acuzare	anger	0.779
treacherous	perfid	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	răzbuna	anger	0.773
revulsion	revulsiune	anger	0.773
madder	roibă	anger	0.773
horrific	oribil	anger	0.773
scorn	dispreţ	anger	0.769
deplorable	deplorabil	anger	0.766
bomb	bombă	anger	0.766
anarchist	anarhist	anger	0.765
devastation	devastare	anger	0.765
resent	displace	anger	0.765
firestorm	Firestorm	anger	0.765
contemptible	vrednic de dispreț	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	crud	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mortal	anger	0.758
smash	lovitura	anger	0.758
rant	declama	anger	0.758
outburst	izbucnire	anger	0.757
snarl	mârâit	anger	0.754
profane	profan	anger	0.750
offend	jigni	anger	0.750
douchebags	fraieri	anger	0.750
growling	maraitul	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgaritate	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	înnebunită	anger	0.750
despise	dispreţui	anger	0.750
horror	groază	anger	0.750
aggravating	agravant	anger	0.750
revolting	revoltător	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	amenințare	anger	0.742
erupt	erupe	anger	0.742
screaming	țipând	anger	0.742
violence	violenţă	anger	0.742
horrible	oribil	anger	0.742
molestation	molestare	anger	0.742
bastards	bastarzi	anger	0.741
revenge	răzbunare	anger	0.738
catastrophe	catastrofă	anger	0.735
menacing	ameninţător	anger	0.735
demon	demon	anger	0.735
crushing	zdrobitor	anger	0.735
damn	La naiba	anger	0.735
persecute	persecuta	anger	0.734
argue	argumenta	anger	0.734
flog	biciui	anger	0.734
revolt	revoltă	anger	0.734
thrash	chelfăni	anger	0.734
deplore	deplora	anger	0.734
warfare	război	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehement	anger	0.734
riotous	turbulent	anger	0.734
altercation	altercaţie	anger	0.729
warlike	belicos	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	răzvrătire	anger	0.727
castrate	castra	anger	0.727
sabotage	sabotaj	anger	0.727
malevolent	răuvoitor	anger	0.721
strike	grevă	anger	0.721
disaster	dezastru	anger	0.721
disastrous	dezastruos	anger	0.720
tumult	tumult	anger	0.719
madden	exaspera	anger	0.719
devil	diavol	anger	0.719
scream	ţipăt	anger	0.719
brutal	brutal	anger	0.719
treachery	trădare	anger	0.719
scorching	arzător	anger	0.719
vermin	paraziţi	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	prostii	anger	0.719
aggravates	agravează	anger	0.719
spiteful	duşmănos	anger	0.719
slay	ucide	anger	0.719
disdain	dispreț	anger	0.719
choke	sufoca	anger	0.719
bastarding	bastarding	anger	0.719
mangle	calandru	anger	0.714
anarchism	anarhism	anger	0.714
mutilation	mutilare	anger	0.714
criminal	penal	anger	0.714
denunciation	denunţare	anger	0.713
punch	lovi cu pumnul	anger	0.713
crucifixion	răstignire	anger	0.712
virulence	virulenţă	anger	0.712
battled	luptat	anger	0.712
fatal	fatal	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	hulitor	anger	0.712
hurting	doare	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranjat	anger	0.706
atrocious	atroce	anger	0.706
evil	rău	anger	0.706
irritated	supărat	anger	0.706
assassin	asasin	anger	0.703
dicks	penisuri	anger	0.703
persecution	persecuţie	anger	0.703
slayer	criminal	anger	0.703
kidnap	răpi	anger	0.703
scolding	ciondăneală	anger	0.703
intimidation	intimidare	anger	0.703
aggravated	agravată	anger	0.703
aggression	agresiune	anger	0.702
armed	armat	anger	0.700
poison	otravă	anger	0.697
snarling	snarling	anger	0.697
venom	venin	anger	0.697
battle	luptă	anger	0.697
disgruntled	nemulţumit	anger	0.693
insidious	insidios	anger	0.691
assailant	atacator	anger	0.691
resentment	resentiment	anger	0.691
lynch	linșa	anger	0.690
contemptuous	dispreţuitor	anger	0.690
temper	temperament	anger	0.688
imprisonment	pedeapsa cu închisoarea	anger	0.688
disparage	discredita	anger	0.688
bully	bătăuş	anger	0.688
terrible	teribil	anger	0.688
lunatic	nebun	anger	0.688
curse	blestem	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	iritat	anger	0.688
domination	dominaţie	anger	0.688
mad	nebun	anger	0.688
infanticide	infanticid	anger	0.688
volatility	volatilitate	anger	0.687
eradication	eradicarea	anger	0.685
tantrum	acces de furie	anger	0.682
devastate	devasta	anger	0.682
eradicate	eradica	anger	0.682
scoundrel	ticălos	anger	0.682
aggressively	agresiv	anger	0.680
agitation	agitaţie	anger	0.680
dictatorship	dictatură	anger	0.676
irritates	irita	anger	0.676
profanity	profanare	anger	0.673
egregious	extraordinar	anger	0.672
expletive	expletiv	anger	0.672
nasty	neplăcut	anger	0.672
shove	îmbrânci	anger	0.672
shot	lovitură	anger	0.672
harmful	nociv	anger	0.672
aggravation	agravare	anger	0.672
contempt	dispreţ	anger	0.672
poisonous	otrăvitor	anger	0.672
dastardly	mişelesc	anger	0.672
shoot	trage	anger	0.672
corrupting	otrăvitor	anger	0.672
condemnation	condamnare	anger	0.672
wreak	se răzbuna	anger	0.672
crushed	zdrobit	anger	0.672
cruelly	crud	anger	0.672
crime	crimă	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	erupţie	anger	0.667
odious	odios	anger	0.667
shooting	filmare	anger	0.667
kick	lovitură	anger	0.667
aggressive	agresiv	anger	0.667
combat	luptă	anger	0.667
shout	strigăt	anger	0.667
hit	lovit	anger	0.667
fight	luptă	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	dusman	anger	0.667
irritable	iritabil	anger	0.667
punished	pedepsit	anger	0.662
ambush	ambuscadă	anger	0.661
yell	strigăt	anger	0.661
harass	hărțui	anger	0.659
malignant	maligne	anger	0.656
