word	Telugu-te	emotion	emotion-intensity-score
outraged	ఆగ్రహం	anger	0.964
brutality	క్రూరత్వం	anger	0.959
hatred	ద్వేషం	anger	0.953
hateful	ద్వేషపూరిత	anger	0.940
terrorize	భయభ్రాంతులకు	anger	0.939
violently	హింసాత్మకంగా	anger	0.938
infuriated	మండిపడ్డారు	anger	0.938
furious	కోపంతో	anger	0.929
enraged	ఆగ్రహించిన	anger	0.927
furiously	ప్రచండముగా	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	హంతకుడు	anger	0.922
fury	ఫ్యూరీ	anger	0.922
execution	అమలు	anger	0.917
angered	ఆగ్రహానికి	anger	0.916
savagery	హింసాత్మక ప్రవర్తన	anger	0.915
slaughtering	ఖుర్బానీ	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	విధ్వంసం	anger	0.912
assassinate	హత్య	anger	0.912
rage	Rage	anger	0.911
loathe	అసహ్యించుకొను	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	దూషణలు	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	నరహత్య	anger	0.906
furor	కలవరానికి	anger	0.900
hostile	విరుద్ధమైన	anger	0.898
annihilate	అంతమొందించడం	anger	0.898
murder	హత్య	anger	0.897
raging	ఆవేశంతో	anger	0.896
vengeful	ప్రతీకార	anger	0.894
rape	రేప్	anger	0.894
ferocious	భయంకరమైన	anger	0.894
pissed	pissed	anger	0.894
obliterated	నాశనం చేసింది	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	పేలుడు	anger	0.894
killing	హత్య	anger	0.893
combative	పోరాట	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	ప్రతీకారం	anger	0.886
torment	హింసకు	anger	0.885
wrath	కోపం	anger	0.885
vicious	విష	anger	0.884
massacre	నరమేధం	anger	0.882
threatening	భయపెట్టే	anger	0.882
pissoff	పిస్సాఫ్	anger	0.875
abhorrent	అసహ్యకరంగా	anger	0.875
bloodthirsty	రక్తపిపాసి	anger	0.875
fighting	పోరాట	anger	0.868
annihilated	హతమైన	anger	0.865
attacking	దాడి	anger	0.865
angriest	angriest	anger	0.864
bloodshed	రక్తపాతం	anger	0.864
smite	బాధించును	anger	0.862
brawl	ఘర్షణ	anger	0.861
assault	దాడి	anger	0.859
malicious	హానికరమైన	anger	0.859
strangle	ఊపిరాడకుండా	anger	0.859
tirade	తిట్ల	anger	0.859
explode	పేలు	anger	0.859
assassination	హత్య	anger	0.859
hostility	శత్రుత్వ	anger	0.859
loathsome	అసహ్యమైన	anger	0.857
hell	నరకం	anger	0.853
murderous	హత్యలు	anger	0.853
attack	దాడి	anger	0.853
malice	NO TRANSLATION	anger	0.852
