word	Kyrgyz-ky	emotion	emotion-intensity-score
outraged	нааразы	anger	0.964
brutality	оройлук	anger	0.959
hatred	жек көрүү	anger	0.953
hateful	жек көргөн	anger	0.940
terrorize	коркутуу	anger	0.939
violently	зордук-зомбулук	anger	0.938
infuriated	каарын кайнаткан	anger	0.938
furious	каардуу	anger	0.929
enraged	каары кайнап	anger	0.927
furiously	аябай каарданып,	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	киши өлтүргүч	anger	0.922
fury	каар	anger	0.922
execution	аткаруу	anger	0.917
angered	нааразы	anger	0.916
savagery	мыкаачылык	anger	0.915
slaughtering	өлтүрө турган	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	КОТОККО	anger	0.912
annihilation	жок кылуу	anger	0.912
assassinate	атайын талкалоо	anger	0.912
rage	каар	anger	0.911
loathe	кызарат	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	жок болуу	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	канкор	anger	0.906
furor	башка кудайларга,	anger	0.900
hostile	кастык	anger	0.898
annihilate	жок кылуу	anger	0.898
murder	өлтүрүү	anger	0.897
raging	албууттанган	anger	0.896
vengeful	өч	anger	0.894
rape	зордуктоо	anger	0.894
ferocious	Аянда	anger	0.894
pissed	бандиттин	anger	0.894
obliterated	бай менен кедейдин кыпындай дагы	anger	0.894
infuriates	каарданууда	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	жарылма	anger	0.894
killing	өлтүрүү	anger	0.893
combative	кызуу	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	өч	anger	0.886
torment	кыйналуу	anger	0.885
wrath	каары	anger	0.885
vicious	мыкаачы	anger	0.884
massacre	союу	anger	0.882
threatening	коркунуч	anger	0.882
pissoff	итиркейди келтирүү	anger	0.875
abhorrent	жийиркеничтүү	anger	0.875
bloodthirsty	канкор	anger	0.875
fighting	согуш	anger	0.868
annihilated	жок	anger	0.865
attacking	кол	anger	0.865
angriest	кийин ачууланбайм	anger	0.864
bloodshed	кан төгүү	anger	0.864
smite	талкалаш	anger	0.862
brawl	мушташ	anger	0.861
assault	кол салуу	anger	0.859
malicious	зыяндуу	anger	0.859
strangle	муунтуу	anger	0.859
tirade	кадрга	anger	0.859
explode	жаруу	anger	0.859
assassination	өлтүрүү	anger	0.859
hostility	душмандык	anger	0.859
loathsome	жийиркеничтүү	anger	0.857
hell	тозок	anger	0.853
murderous	канкор	anger	0.853
attack	кол салуу	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	терроризм	anger	0.851
beating	уруу	anger	0.849
desecration	гербин	anger	0.848
pissingmeoff	Бак мени	anger	0.848
outrage	одоно бузуу	anger	0.848
stab	саюу	anger	0.844
slaughter	союу	anger	0.844
violent	зомбулук	anger	0.844
destroying	жок	anger	0.844
abomination	жийиркеничтүү	anger	0.844
tumultuous	төкмөлүү	anger	0.844
irate	ачууланган	anger	0.844
infuriate	ачуусу келүү	anger	0.844
obliterate	коёру	anger	0.843
belligerent	согушуп жаткан	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	жек	anger	0.838
hostilities	атаандаштык	anger	0.837
prick	оорубаса	anger	0.835
torture	кыйноо	anger	0.833
rabid	ырайымсыздык	anger	0.833
horrid	Луттун	anger	0.833
rampage	балаалар	anger	0.833
cruelty	катаалдык	anger	0.833
hate	жек көрүү	anger	0.828
demonic	жиндердин	anger	0.828
hating	жек көргөн	anger	0.828
satanic	Шайтандын	anger	0.828
tyrannical	катаал	anger	0.828
ragemode	ragemode	anger	0.828
despicable	тексиз	anger	0.828
ruinous	жаман	anger	0.825
condemn	айыптоо	anger	0.825
riots	Башаламандыктар	anger	0.824
demolish	жер менен жексен	anger	0.824
angry	ачууланган	anger	0.824
extermination	кыруу	anger	0.824
dickhead	DICKHEAD	anger	0.824
livid	ачууланды	anger	0.821
madman	айныган	anger	0.820
vindictive	кекчил	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	тутанышына	anger	0.818
venomous	уулуу	anger	0.818
threaten	коркутуу	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	террористтик	anger	0.818
abhor	жек	anger	0.816
savage	жапайы	anger	0.814
atrocity	ырайымсыз	anger	0.814
carnage	уруш-мушташ	anger	0.814
berserk	таюу	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	кыянаттык	anger	0.812
tyrant	заалым	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	кыжырына тийген	anger	0.812
vendetta	Vendetta	anger	0.812
fierce	таш боор	anger	0.812
destroyer	эскадралык миноносец	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	жиндеп	anger	0.812
barbaric	варвардык	anger	0.812
anger	ачуулануу	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	широкие	anger	0.803
fights	күрөш	anger	0.803
punched	ургулоо	anger	0.803
bitch	канчык	anger	0.803
punching	кум	anger	0.803
homicide	өлтүргүч	anger	0.803
destructive	кыйратуучу	anger	0.797
ruthless	ырайымсыз	anger	0.797
villainous	кара ниеттик	anger	0.797
slap	чабуу	anger	0.791
slaughterhouse	касап	anger	0.788
punishing	жазалоо	anger	0.788
destroyed	жок	anger	0.788
retaliatory	жооп	anger	0.788
riot	көтөрүлүш	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	кыйкырып	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	Шайтандын	anger	0.788
manslaughter	өлтүрүү	anger	0.783
clash	кагылышуу	anger	0.783
bloody	канкор	anger	0.781
