word	Scots Gaelic-gd	emotion	emotion-intensity-score
outraged	eagallach	anger	0.964
brutality	brutality	anger	0.959
hatred	fuath	anger	0.953
hateful	fuathmhor	anger	0.940
terrorize	eagal	anger	0.939
violently	fòirneartach	anger	0.938
infuriated	mì-fhortanach	anger	0.938
furious	baoghalach	anger	0.929
enraged	gealladh	anger	0.927
furiously	gu bràth	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	Murderer	anger	0.922
fury	fury	anger	0.922
execution	cur an gnìomh	anger	0.917
angered	angered	anger	0.916
savagery	saoghail	anger	0.915
slaughtering	a 'marbhadh	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	annihilation	anger	0.912
assassinate	marbh	anger	0.912
rage	boile	anger	0.911
loathe	bòidhchead	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	marbhtach	anger	0.906
furor	bualadh	anger	0.900
hostile	nàimhdeil	anger	0.898
annihilate	annihilate	anger	0.898
murder	murt	anger	0.897
raging	raging	anger	0.896
vengeful	dìoghaltas	anger	0.894
rape	èigneachadh	anger	0.894
ferocious	fiadhaich	anger	0.894
pissed	sgaoileadh	anger	0.894
obliterated	air fhàgail	anger	0.894
infuriates	neo-ionnan	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	sgaoileadh	anger	0.894
killing	marbhadh	anger	0.893
combative	cromadh	anger	0.891
gofuckyourself	gàirdeachas fhèin	anger	0.886
vengeance	dìoghaltas	anger	0.886
torment	torment	anger	0.885
wrath	fearg	anger	0.885
vicious	duilich	anger	0.884
massacre	murt	anger	0.882
threatening	bagairt	anger	0.882
pissoff	Falbh ‘s tarraing	anger	0.875
abhorrent	sàmhach	anger	0.875
bloodthirsty	bàis-bàis	anger	0.875
fighting	sabaid	anger	0.868
annihilated	air a dhìteadh	anger	0.865
attacking	ionnsaigh	anger	0.865
angriest	anabarrach	anger	0.864
bloodshed	falamh fala	anger	0.864
smite	bualadh	anger	0.862
brawl	brawl	anger	0.861
assault	ionnsaigh	anger	0.859
malicious	maiseach	anger	0.859
strangle	strangle	anger	0.859
tirade	caoidh	anger	0.859
explode	a 'feuchainn	anger	0.859
assassination	murt	anger	0.859
hostility	aimhreit	anger	0.859
loathsome	duilich	anger	0.857
hell	ifrinn	anger	0.853
murderous	murt	anger	0.853
attack	ionnsaigh	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	uamhasachd	anger	0.851
beating	beating	anger	0.849
desecration	ciùradh	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	eallaich	anger	0.848
stab	stuic	anger	0.844
slaughter	marbhadh	anger	0.844
violent	fòirneartach	anger	0.844
destroying	a 'milleadh	anger	0.844
abomination	gràineileachd	anger	0.844
tumultuous	sgaoileadh	anger	0.844
irate	irate	anger	0.844
infuriate	ann an cunnart	anger	0.844
obliterate	sguabadh às	anger	0.843
belligerent	dìoghaltas	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	faireachdainn	anger	0.838
hostilities	aimhreit	anger	0.837
prick	tilgeil	anger	0.835
torture	cràdh	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	rampage	anger	0.833
cruelty	cruelty	anger	0.833
hate	fuath	anger	0.828
demonic	deuchainn	anger	0.828
hating	gràin	anger	0.828
satanic	sgaoileadh	anger	0.828
tyrannical	deasaich |	anger	0.828
ragemode	bratag	anger	0.828
despicable	gun teagamh	anger	0.828
ruinous	tobhta	anger	0.825
condemn	dìteadh	anger	0.825
riots	aimhreit	anger	0.824
demolish	leagail	anger	0.824
angry	feargach	anger	0.824
extermination	cur às dha	anger	0.824
dickhead	dannsa	anger	0.824
livid	livid	anger	0.821
madman	màthair	anger	0.820
vindictive	dìoghaltas	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	fiadhaich	anger	0.818
venomous	sgaoileadh	anger	0.818
threaten	bagairt	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	ceannairc	anger	0.818
abhor	gràin	anger	0.816
savage	saoghail	anger	0.814
atrocity	aimhreit	anger	0.814
carnage	feòil	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	mì-ghnàthachadh	anger	0.812
tyrant	tighearna	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	Claoidhte	anger	0.812
vendetta	reic	anger	0.812
fierce	fiadhaich	anger	0.812
destroyer	sgriosair	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbaric	anger	0.812
anger	fearg	anger	0.811
pieceofshit	saoghail	anger	0.810
slam	slam	anger	0.803
fights	strì	anger	0.803
punched	a 'bualadh	anger	0.803
bitch	bitch	anger	0.803
punching	puingean	anger	0.803
homicide	marbhadh	anger	0.803
destructive	millteach	anger	0.797
ruthless	ruthless	anger	0.797
villainous	mì-fhortanach	anger	0.797
slap	slap	anger	0.791
slaughterhouse	taigh-margaidh	anger	0.788
punishing	peanasachadh	anger	0.788
destroyed	sgrios	anger	0.788
retaliatory	ath-ghairm	anger	0.788
riot	aimhreit	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ag èigheach	anger	0.788
growthefuckup	fàs	anger	0.788
diabolical	sgaoileadh	anger	0.788
manslaughter	daonnachadh	anger	0.783
clash	còmhradh	anger	0.783
bloody	fuilteach	anger	0.781
hellish	Alba | Naidheachdan |	anger	0.781
loath	sgaoileadh	anger	0.781
detonation	cladhach	anger	0.781
quarrel	Ceangalaichean BBC	anger	0.781
sinister	gun teagamh	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	a 'cur an cèill	anger	0.779
treacherous	fiadhaich	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ath-aithris	anger	0.773
revulsion	ath-bheothachadh	anger	0.773
madder	inbheach	anger	0.773
horrific	uabhasach	anger	0.773
scorn	sguabadh às	anger	0.769
deplorable	mì-thoilichte	anger	0.766
bomb	boma	anger	0.766
anarchist	anarchist	anger	0.765
devastation	tubaist	anger	0.765
resent	sìor fhàs	anger	0.765
firestorm	stoirm-teine	anger	0.765
contemptible	mì-mhisneach	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	cruaidh	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	marbhtach	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	sgaoileadh	anger	0.757
snarl	snarl	anger	0.754
profane	caoidh	anger	0.750
offend	ciontach	anger	0.750
douchebags	douchebags	anger	0.750
growling	fàs	anger	0.750
stfu	stfu	anger	0.750
vulgarity	bòidhchead	anger	0.750
dontmesswithme	gun teagamh	anger	0.750
crazed	air a chrochadh	anger	0.750
despise	sguabadh às	anger	0.750
horror	uabhas	anger	0.750
aggravating	ag ionaltradh	anger	0.750
revolting	sabaid	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	bagairt	anger	0.742
erupt	sabaid	anger	0.742
screaming	a 'cluinntinn	anger	0.742
violence	fòirneart	anger	0.742
horrible	uabhasach	anger	0.742
molestation	bochdainn	anger	0.742
bastards	bataichean	anger	0.741
revenge	dìoghaltas	anger	0.738
catastrophe	tubaist	anger	0.735
menacing	a 'milleadh	anger	0.735
demon	deam	anger	0.735
crushing	a 'briseadh	anger	0.735
damn	damn	anger	0.735
persecute	geur-leanmhainn	anger	0.734
argue	argamaid	anger	0.734
flog	flog	anger	0.734
revolt	ar-a-mach	anger	0.734
thrash	thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	cogadh	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	saoghail	anger	0.734
riotous	aimhreit	anger	0.734
altercation	atharrachadh	anger	0.729
warlike	cogadh	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	càineadh	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	droch ghiùlan	anger	0.721
strike	stailc	anger	0.721
disaster	tubaist	anger	0.721
disastrous	tubaist	anger	0.720
tumult	tubaist	anger	0.719
madden	madden	anger	0.719
devil	diabhal	anger	0.719
scream	sgread	anger	0.719
brutal	brutal	anger	0.719
treachery	feall	anger	0.719
scorching	sgaoileadh	anger	0.719
vermin	mionnan	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	èibhinn	anger	0.719
slay	marbh	anger	0.719
disdain	dì-mhisneachadh	anger	0.719
choke	sguabadh	anger	0.719
bastarding	a 'creidsinn	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	milleadh	anger	0.714
criminal	eucoireach	anger	0.714
denunciation	denunciation	anger	0.713
punch	punch	anger	0.713
crucifixion	cruisneachadh	anger	0.712
virulence	feòrag	anger	0.712
battled	sabaid	anger	0.712
fatal	marbhtach	anger	0.712
holocaust	a 'chaisteil	anger	0.712
blasphemous	a 'blasadachadh	anger	0.712
hurting	dol fodha	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deanged	anger	0.706
atrocious	uamhasach	anger	0.706
evil	olc	anger	0.706
irritated	èibhinn	anger	0.706
assassin	murt	anger	0.703
dicks	dicks	anger	0.703
persecution	geur-leanmhainn	anger	0.703
slayer	slayer	anger	0.703
kidnap	aodach	anger	0.703
scolding	a 'caoineadh	anger	0.703
intimidation	eagal	anger	0.703
aggravated	gann	anger	0.703
aggression	ionnsaigh	anger	0.702
armed	armachd	anger	0.700
poison	puinnsean	anger	0.697
snarling	snarling	anger	0.697
venom	venom	anger	0.697
battle	blàr	anger	0.697
disgruntled	mì-thoilichte	anger	0.693
insidious	sàmhach	anger	0.691
assailant	assailant	anger	0.691
resentment	èibhinn	anger	0.691
lynch	lynch	anger	0.690
contemptuous	èibhinn	anger	0.690
temper	s an Iar-	anger	0.688
imprisonment	prìosain	anger	0.688
disparage	mì-thoilichte	anger	0.688
bully	bully	anger	0.688
terrible	uabhasach	anger	0.688
lunatic	s an Iar-	anger	0.688
curse	mhallachd	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	saoghail	anger	0.688
domination	uachdaranachd	anger	0.688
mad	cuthach	anger	0.688
infanticide	leanabas	anger	0.688
volatility	neo-sheasmhach	anger	0.687
eradication	crìonadh	anger	0.685
tantrum	tantrum	anger	0.682
devastate	sgrios	anger	0.682
eradicate	sgaoileadh	anger	0.682
scoundrel	sneachda	anger	0.682
aggressively	ionnsaigheach	anger	0.680
agitation	aimhreit	anger	0.680
dictatorship	deachdaireachd	anger	0.676
irritates	èibhinn	anger	0.676
profanity	dìomhaireachd	anger	0.673
egregious	uabhasach math	anger	0.672
expletive	sàr-mhath	anger	0.672
nasty	dona	anger	0.672
shove	sgaoileadh	anger	0.672
shot	saighdear	anger	0.672
harmful	cronach	anger	0.672
aggravation	ag èigheachadh	anger	0.672
contempt	dìomhaireachd	anger	0.672
poisonous	puinnseanach	anger	0.672
dastardly	gu dòigheil	anger	0.672
shoot	saighdear	anger	0.672
corrupting	truailleadh	anger	0.672
condemnation	dìteadh	anger	0.672
wreak	falbh	anger	0.672
crushed	air a bhriseadh	anger	0.672
cruelly	cruaidh	anger	0.672
crime	eucoir	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	crìonadh	anger	0.667
odious	odious	anger	0.667
shooting	losgadh	anger	0.667
kick	buille	anger	0.667
aggressive	ionnsaigheach	anger	0.667
combat	sabaid	anger	0.667
shout	èigh	anger	0.667
hit	bhuail	anger	0.667
fight	sabaid	anger	0.667
cutthroat	gearradh cruaidh	anger	0.667
enemy	nàmhaid	anger	0.667
irritable	mì-chinnteach	anger	0.667
punished	a pheanasachadh	anger	0.662
ambush	luachairt	anger	0.661
yell	geal	anger	0.661
harass	sàrachadh	anger	0.659
malignant	neònach	anger	0.656
aggressor	ionnsaigh	anger	0.656
antichrist	antichrist	anger	0.656
gore	gore	anger	0.656
incense	tùis	anger	0.656
expel	cuir às dha	anger	0.656
destruction	sgrios	anger	0.656
grudge	grùdh	anger	0.656
cranky	cranky	anger	0.653
offended	sgaoileadh	anger	0.652
spank	spank	anger	0.652
growl	fàs	anger	0.652
insurrection	ar-a-mach	anger	0.652
reprisal	dìmeas	anger	0.652
slave	tràill	anger	0.652
denounce	den bheachd	anger	0.652
animosity	beothalachd	anger	0.652
insulting	sàrachadh	anger	0.652
clashing	ag èigheach	anger	0.652
growls	fàs	anger	0.649
executioner	saighdear	anger	0.644
twat	dàta	anger	0.644
doomsday	Dimàirt	anger	0.643
daemon	daemon	anger	0.641
obscenity	geamhrachd	anger	0.641
bombard	bombard	anger	0.641
spat	spat	anger	0.641
havoc	caorach	anger	0.641
feud	feud	anger	0.641
grr	grr	anger	0.641
arson	losgadh	anger	0.641
reprimand	bualadh	anger	0.641
