word	Amharic-am	emotion	emotion-intensity-score
outraged	በጣም የተናደደ	anger	0.964
brutality	ጭካኔ	anger	0.959
hatred	ጥላቻ	anger	0.953
hateful	በጥላቻ የተሞላ	anger	0.940
terrorize	ሽብር ፈጠራ	anger	0.939
violently	በኃይል	anger	0.938
infuriated	ተቆጣ	anger	0.938
furious	ተቆጣ	anger	0.929
enraged	በጣም የተናደደ	anger	0.927
furiously	በንዴት	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	ነፍሰ ገዳይ	anger	0.922
fury	ቁጣ	anger	0.922
execution	ማስፈጸሚያ	anger	0.917
angered	ተቆጣ	anger	0.916
savagery	ጭካኔ የተሞላ	anger	0.915
slaughtering	ማረድ	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	ጪምጥበት	anger	0.912
annihilation	መጥፋት	anger	0.912
assassinate	ገዳይ	anger	0.912
rage	ቁጣ	anger	0.911
loathe	ርኩስ	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	ቅጣትን	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	የግድያ ወንጀል	anger	0.906
furor	ድካም	anger	0.900
hostile	ጠላት	anger	0.898
annihilate	አጥፋ	anger	0.898
murder	ነፍስ ግድያ	anger	0.897
raging	ተጣራ	anger	0.896
vengeful	በቀለኛ	anger	0.894
rape	አስገድዶ መድፈር	anger	0.894
ferocious	ኃይለኛ	anger	0.894
pissed	የተዛባ	anger	0.894
obliterated	ተደምስሷል	anger	0.894
infuriates	ተቆጣ	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ፈንጂ	anger	0.894
killing	መግደል	anger	0.893
combative	ቆንጆ	anger	0.891
gofuckyourself	ሂድ	anger	0.886
vengeance	በቀል	anger	0.886
torment	ቅጣት	anger	0.885
wrath	ቁጣ	anger	0.885
vicious	አደገኛ	anger	0.884
massacre	ጭፍጨፋ	anger	0.882
threatening	ማስፈራራት	anger	0.882
pissoff	መሽናት	anger	0.875
abhorrent	አስጸያፊ	anger	0.875
bloodthirsty	ደም የተጠማ	anger	0.875
fighting	ውጊያ	anger	0.868
annihilated	ተደምስሷል	anger	0.865
attacking	ማጥቃት	anger	0.865
angriest	በጣም የሚያስቆጣ	anger	0.864
bloodshed	ደም መፋሰስ	anger	0.864
smite	ምታ	anger	0.862
brawl	ድብድብ	anger	0.861
assault	ጥቃት	anger	0.859
malicious	ተንኮል ያዘለ	anger	0.859
strangle	ገደል	anger	0.859
tirade	ማማዎች	anger	0.859
explode	ፈነጠቀ	anger	0.859
assassination	ገድል	anger	0.859
hostility	ጥላቻ	anger	0.859
loathsome	አስጸያፊ ነው	anger	0.857
hell	ሲኦል	anger	0.853
murderous	ነፍስ ግድያ	anger	0.853
attack	ጥቃት	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ሽብርተኝነት	anger	0.851
beating	ድብደባ	anger	0.849
desecration	መበስበስ	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ቁጣ	anger	0.848
stab	መትቷል	anger	0.844
slaughter	ማጥፋት	anger	0.844
violent	ኃይለኛ	anger	0.844
destroying	ማጥፋት	anger	0.844
abomination	አስጸያፊ	anger	0.844
tumultuous	ድብልቅ	anger	0.844
irate	ቁጣ	anger	0.844
infuriate	ተበሳጨ	anger	0.844
obliterate	አጥፋ	anger	0.843
belligerent	ጠበኛ	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ተጸየፈ	anger	0.838
hostilities	ግጭቶች	anger	0.837
prick	መውጋት	anger	0.835
torture	ማሰቃየት	anger	0.833
rabid	አጥንት	anger	0.833
horrid	አስፈሪ	anger	0.833
rampage	ቁጣ	anger	0.833
cruelty	ጭካኔ	anger	0.833
hate	ጥላቻ	anger	0.828
demonic	አጋንንታዊ	anger	0.828
hating	መጥላት	anger	0.828
satanic	ሰይጣናዊ	anger	0.828
tyrannical	ጨካኝ	anger	0.828
ragemode	????	anger	0.828
despicable	የተናቅ	anger	0.828
ruinous	ውድ	anger	0.825
condemn	ፈረዱ	anger	0.825
riots	ሁከት	anger	0.824
demolish	ፈረሰ	anger	0.824
angry	ተቆጣ	anger	0.824
extermination	መግደል	anger	0.824
dickhead	ዳክለር	anger	0.824
livid	የተከበረ	anger	0.821
madman	እብድ	anger	0.820
vindictive	እብሪተኛ	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ፍርሀት	anger	0.818
venomous	እፉኝ	anger	0.818
threaten	ማስፈራራት	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	አሸባሪ	anger	0.818
abhor	ጸያፍ	anger	0.816
savage	አስፈሪ	anger	0.814
atrocity	ግፍ	anger	0.814
carnage	እልቂት	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	ማጎሳቆል	anger	0.812
tyrant	አምባገነን	anger	0.812
fucksake	እምቢታ	anger	0.812
pissedoff	መናደድ	anger	0.812
vendetta	vend vend vend vend	anger	0.812
fierce	ኃይለኛ	anger	0.812
destroyer	አጥፊ	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	እሳትን	anger	0.812
barbaric	አረመኔ	anger	0.812
anger	ቁጣ	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	ስላም	anger	0.803
fights	ግጭቶች	anger	0.803
