word	Vietnamese-vi	emotion	emotion-intensity-score
outraged	xúc phạm	anger	0.964
brutality	sự tàn bạo	anger	0.959
hatred	sự thù ghét	anger	0.953
hateful	hận thù	anger	0.940
terrorize	khủng bố	anger	0.939
violently	dữ dội	anger	0.938
infuriated	tức điên lên	anger	0.938
furious	giận dữ	anger	0.929
enraged	tức giận	anger	0.927
furiously	giận dữ	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	kẻ giết người	anger	0.922
fury	cơn giận	anger	0.922
execution	chấp hành	anger	0.917
angered	tức giận	anger	0.916
savagery	dã man	anger	0.915
slaughtering	giết mổ	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	khốn kiếp	anger	0.912
annihilation	hủy diệt	anger	0.912
assassinate	ám sát	anger	0.912
rage	giận dữ	anger	0.911
loathe	không ưa	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	sự chết tiệt	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	giết người	anger	0.906
furor	lông thú	anger	0.900
hostile	Hostile	anger	0.898
annihilate	tiêu diệt	anger	0.898
murder	giết người	anger	0.897
raging	hoành hành	anger	0.896
vengeful	hận thù	anger	0.894
rape	hãm hiếp	anger	0.894
ferocious	hung dữ	anger	0.894
pissed	tức giận	anger	0.894
obliterated	xóa sạch	anger	0.894
infuriates	làm say đắm	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	nổ	anger	0.894
killing	giết người	anger	0.893
combative	chiến đấu	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	trả thù	anger	0.886
torment	sự đau khổ	anger	0.885
wrath	phẫn nộ	anger	0.885
vicious	luẩn quẩn	anger	0.884
massacre	tàn sát	anger	0.882
threatening	đe doạ	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	khát máu	anger	0.875
fighting	trận đánh	anger	0.868
annihilated	tiêu diệt	anger	0.865
attacking	tấn công	anger	0.865
angriest	angriest	anger	0.864
bloodshed	đổ máu	anger	0.864
smite	smite	anger	0.862
brawl	brawl	anger	0.861
assault	tấn công	anger	0.859
malicious	độc hại	anger	0.859
strangle	bóp nghẹt	anger	0.859
tirade	NULL	anger	0.859
explode	nổ tung	anger	0.859
assassination	ám sát	anger	0.859
hostility	thù địch	anger	0.859
loathsome	không ưa	anger	0.857
hell	Địa ngục	anger	0.853
murderous	giết người	anger	0.853
attack	tấn công	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	chủ nghĩa khủng bố	anger	0.851
beating	đánh đập	anger	0.849
desecration	sự tha tội	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	phẫn nộ	anger	0.848
stab	cú đâm	anger	0.844
slaughter	giết mổ	anger	0.844
violent	hung bạo	anger	0.844
destroying	phá hủy	anger	0.844
abomination	sự ghê tởm	anger	0.844
tumultuous	xôn xao	anger	0.844
irate	- tức giận	anger	0.844
infuriate	tức giận	anger	0.844
obliterate	bôi	anger	0.843
belligerent	hiếu chiến	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ghét bỏ	anger	0.838
hostilities	thù địch	anger	0.837
prick	đâm	anger	0.835
torture	tra tấn	anger	0.833
rabid	rabid	anger	0.833
horrid	kinh khủng	anger	0.833
rampage	hung hăng	anger	0.833
cruelty	tàn ác	anger	0.833
hate	ghét bỏ	anger	0.828
demonic	ma quỷ	anger	0.828
hating	ghét	anger	0.828
satanic	thuộc về satan	anger	0.828
tyrannical	tàn bạo	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	đáng khinh	anger	0.828
ruinous	hủy hoại	anger	0.825
condemn	lên án	anger	0.825
riots	cuộc bạo loạn	anger	0.824
demolish	phá hủy	anger	0.824
angry	bực bội	anger	0.824
extermination	hủy diệt	anger	0.824
dickhead	dickhead	anger	0.824
livid	sống động	anger	0.821
madman	người điên	anger	0.820
vindictive	tranh cãi	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	hung hăng	anger	0.818
venomous	độc hại	anger	0.818
threaten	hăm dọa	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	kẻ khủng bố	anger	0.818
abhor	abhor	anger	0.816
savage	dã man	anger	0.814
atrocity	tàn bạo	anger	0.814
carnage	tàn sát	anger	0.814
berserk	bối rối	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	sự lạm dụng	anger	0.812
tyrant	bạo chúa	anger	0.812
fucksake	làm tình	anger	0.812
pissedoff	bực mình	anger	0.812
vendetta	thù hận	anger	0.812
fierce	khốc liệt	anger	0.812
destroyer	tàu khu trục	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	bốc khói	anger	0.812
barbaric	dã man	anger	0.812
anger	Sự phẫn nộ	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	sập	anger	0.803
fights	chiến đấu	anger	0.803
punched	đấm	anger	0.803
bitch	chó cái	anger	0.803
punching	đấm	anger	0.803
homicide	giết người	anger	0.803
destructive	phá hoại	anger	0.797
ruthless	tàn nhẫn	anger	0.797
villainous	xấu xa	anger	0.797
slap	tát	anger	0.791
slaughterhouse	lò mổ	anger	0.788
punishing	trừng phạt	anger	0.788
destroyed	bị phá hủy	anger	0.788
retaliatory	trả thù	anger	0.788
riot	bạo loạn	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	la hét	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	tàn ác	anger	0.788
manslaughter	ngộ sát	anger	0.783
clash	sự xung đột	anger	0.783
bloody	dính máu	anger	0.781
hellish	địa ngục	anger	0.781
loath	ghê tởm	anger	0.781
detonation	nổ	anger	0.781
quarrel	cuộc tranh cãi	anger	0.781
sinister	nham hiểm	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	cáo buộc	anger	0.779
treacherous	nguy hiểm	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	trả thù	anger	0.773
revulsion	sự rút lui	anger	0.773
madder	madder	anger	0.773
horrific	kinh khủng	anger	0.773
scorn	khinh bỉ	anger	0.769
deplorable	thương tâm	anger	0.766
bomb	bom	anger	0.766
anarchist	vô chính phủ	anger	0.765
devastation	sự tàn phá	anger	0.765
resent	oán giận	anger	0.765
firestorm	Cơn bão lửa	anger	0.765
contemptible	đáng trách	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	hung ác	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	chết người	anger	0.758
smash	đập vỡ	anger	0.758
rant	rant	anger	0.758
outburst	bùng nổ	anger	0.757
snarl	gầm gừ	anger	0.754
profane	bẩn thỉu	anger	0.750
offend	xúc phạm	anger	0.750
douchebags	douchebags	anger	0.750
growling	gầm gừ	anger	0.750
stfu	stfu	anger	0.750
vulgarity	sự thô tục	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	điên cuồng	anger	0.750
despise	khinh thường	anger	0.750
horror	kinh dị	anger	0.750
aggravating	tình tiết tăng nặng	anger	0.750
revolting	nổi loạn	anger	0.750
fuckedoff	fucked	anger	0.742
threat	mối đe dọa	anger	0.742
erupt	phun ra	anger	0.742
screaming	la hét	anger	0.742
violence	bạo lực	anger	0.742
horrible	kinh khủng	anger	0.742
molestation	quấy rầy	anger	0.742
bastards	bastards	anger	0.741
revenge	trả thù	anger	0.738
catastrophe	tai biến	anger	0.735
menacing	đe dọa	anger	0.735
demon	con quỷ	anger	0.735
crushing	nghiền nát	anger	0.735
damn	chỉ trích	anger	0.735
persecute	bức hại	anger	0.734
argue	tranh luận	anger	0.734
flog	flog	anger	0.734
revolt	cuộc nổi loạn	anger	0.734
thrash	thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	chiến tranh	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	kịch liệt	anger	0.734
riotous	rùng mình	anger	0.734
altercation	sự thay đổi	anger	0.729
warlike	hiếu chiến	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	sự thay đổi	anger	0.727
castrate	thiến	anger	0.727
sabotage	phá hoại	anger	0.727
malevolent	ác ý	anger	0.721
strike	đình công	anger	0.721
disaster	thảm họa	anger	0.721
disastrous	tai hại	anger	0.720
tumult	xáo trộn	anger	0.719
madden	madden	anger	0.719
devil	ác quỷ	anger	0.719
scream	hét lên	anger	0.719
brutal	tàn bạo	anger	0.719
treachery	sự phản bội	anger	0.719
scorching	thiêu đốt	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
